,Artist,Title,Album,Year,Date,Lyric
0,BTS (방탄소년단),Dynamite,BE,2020,2020-08-21,jungkook 'cause i i i'm in the stars tonight so watch me bring the fire and set the night alight   jungkook shoes on get up in the morn' cup of milk let's rock and roll king kong kick the drum rolling on like a rolling stone sing song when i'm walkin' home jump up to the top lebron dingdong call me on my phone ice tea and a game of ping pong  pre rm jhope this is gettin' heavy can you hear the bass boom i'm ready woohoo life is sweet as honey yeah this beat chaching like money huh disco overload i'm into that i'm good to go i'm diamond you know i glow up hey so let's go   jungkook jimin 'cause i i i'm in the stars tonight so watch me bring the fire and set the night alight hey shinin' through the city with a little funk and soul so i'ma light it up like dynamite woahohoh   v rm bring a friend join the crowd whoever wanna come along word up talk the talk just move like we off the wall day or night the sky's alight so we dance to the break of dawn hey ladies and gentlemen i got the medicine so you should keep ya eyes on the ball  pre suga jimin rm huh this is gettin' heavy can you hear the bass boom i'm ready woohoo life is sweet as honey yeah this beat chaching like money huh disco overload i'm into that i'm good to go i'm diamond you know i glow up let's go   jungkook v 'cause i i i'm in the stars tonight so watch me bring the fire and set the night alight hey shinin' through the city with a little funk and soul so i'ma light it up like dynamite woahohoh  post jungkook jimin jin dynnanana nanananana nanana life is dynamite dynnanana nanananana nanana life is dynamite shinin' through the city with a little funk and soul so i'ma light it up like dynamite woahohoh   jungkook jhope jimin v dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light it up like dynamite dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light it up like dynamite   jimin jungkook jin 'cause i i i'm in the stars tonight so watch me bring the fire and set the night alight shinin' through the city with a little funk and soul so i'ma light it up like dynamite this is ah 'cause i i i'm in the stars tonight so watch me bring the fire and set the night alight alight oh shinin' through the city with a little funk and soul so i'ma light light it it up up like like dynamite dynamite woahohoh  post jungkook jimin v dynnanana nanananana nanana life is dynamite life is dynamite dynnanana nanananana nanana life is dynamite oh shinin' through the city with a little funk and soul so i'ma light it up like dynamite woahohoh
1,BTS (방탄소년단),FAKE LOVE,LOVE YOURSELF 轉 ‘Tear’,2018,2018-05-18,방탄소년단의 fake love 가사   v jungkook 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어  hook jimin jin i'm so sick of this fake love fake love fake love i'm so sorry but it's fake love fake love fake love   rm rm  jungkook jhope i wanna be a good man just for you 세상을 줬네 just for you 전부 바꿨어 just for you now i don't know me who are you 우리만의 숲 너는 없었어 내가 왔던 route 잊어버렸어 나도 내가 누구였는지도 잘 모르게 됐어 거울에다 지껄여봐 너는 대체 누구니  pre jimin jin 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어   jungkook v love you so bad love you so bad 널 위해 예쁜 거짓을 빚어내 love it's so mad love it's so mad 날 지워 너의 인형이 되려 해 love you so bad love you so bad 널 위해 예쁜 거짓을 빚어내 love it's so mad love it's so mad 날 지워 너의 인형이 되려 해  hook jimin jin i'm so sick of this fake love fake love fake love i'm so sorry but it's fake love fake love fake love   rm suga why you sad i don't know 난 몰라 웃어봐 사랑해 말해봐 나를 봐 나조차도 버린 나 너조차 이해할 수 없는 나 낯설다 하네 니가 좋아하던 나로 변한 내가 아니라 하네 예전에 니가 잘 알고 있던 내가 아니긴 뭐가 아냐 난 눈 멀었어 사랑은 뭐가 사랑 it's all fake love   jimin jin woo i don't know i don't know i don't know why woo 나도 날 나도 날 모르겠어 woo i just know i just know i just know why 'cause it's all fake love fake love fake love   jungkook jimin love you so bad love you so bad 널 위해 예쁜 거짓을 빚어내 love it's so mad love it's so mad 날 지워 너의 인형이 되려 해 love you so bad love you so bad 널 위해 예쁜 거짓을 빚어내 love it's so mad love it's so mad 날 지워 너의 인형이 되려 해  hook jimin jin i'm so sick of this fake love fake love fake love i'm so sorry but it's fake love fake love fake love   jiminv jungkookjin 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어
2,BTS (방탄소년단),MIC Drop (Steve Aoki Remix),,2017,2017-11-24,mic drop steve aoki remix 의해 방탄소년단 가사   jhope yeah 누가 내 수저 더럽대 i dont care 마이크 잡음 금수저 여럿 패 버럭해 잘 못 익은 것들 스테끼 여러 개 거듭해서 씹어줄게 스타의 저녁에 world business bang bang 핵심 섭외 순위 clap clap 매진 많지 않지 이 class 가칠 만끽 좋은 향기에 악췬 반칙 i go mic mic bungee   suga mic mic bungee bright light 전진 망할 거 같았겠지만 i'm fine sorry 미안해 billboard 미안해 worldwide 아들이 넘 잘나가서 미안해 엄마 대신해줘 니가 못한 효도 우리 콘서트 절대 없어 포도 i do it i do it 넌 맛없는 라따뚜이 혹 배가 아프다면 고소해 sue it  pre v jungkook jimin jin did you see my bag where did you see my bag where it's hella trophies and it's hella thick hella thick hella thick what you think 'bout that well what you think 'bout that well i bet it got my haters hella sick hella sick come and follow me follow me with your signs up i'm so firin' firin' boy your time's up keep on runnin' and runnin' until i catch up how you dare how you dare how you dare   jungkook rm  suga jimin rm  jhope another trophy my hands carry 'em too many that i can't even count 'em turn it up now mic drop mic drop 발발 조심 너네 말말 조심 somebody stop me i'm 'boutta pop off too busy you know my body ain't enough turn it up now mic drop mic drop 발발 조심 너네 말말 조심   rm baby watch your mouth mouth it come back around 'round once upon a time time we learnt how to fly fly go look at your mirror same damn clothes yeah you know how i feel 개행복 turn up how many hours do we fly ooh i keep on dreamin' on the cloud yeah i'm on the mountain yeah i'm on the bay pop everyday we vibin' mic drop bam  pre jungkook v jimin jin did you see my bag where did you see my bag where it's hella trophies and it's hella thick hella thick hella thick what you think 'bout that well what you think 'bout that well i bet it got my haters hella sick hella sick come and follow me follow me with your signs up i'm so firin' firin' boy your time's up keep on runnin' and runnin' until i catch up how you dare how you dare how you dare   jungkook rm suga jimin jhope another trophy my hands carry 'em too many that i can't even count 'em turn it up now mic drop mic drop 발발 조심 너네 말말 조심 somebody stop me i'm 'boutta pop off too busy you know my body ain't enough turn it up now mic drop mic drop 발발 조심 너네 말말 조심   rm haters gon' hate players gon' play live a life man good luck   더 볼 일 없어 마지막 인사야 할 말도 없어 사과도 하지 마 더 볼 일 없어 마지막 인사야 할 말도 없어 사과도 하지 마 잘 봐 넌 그 꼴 나지 우린 탁 쏴 마치 콜라지 너의 각막 깜짝 놀라지 꽤 꽤 폼나지 포 포 폼나지
3,BTS (방탄소년단),전하지 못한 진심 (The Truth Untold),LOVE YOURSELF 轉 ‘Tear’,2018,2018-05-18,방탄소년단의 전하지 못한 진심 가사   v 외로움이 가득히 피어있는 이 garden 가시투성이 이 모래성에 난 날 매었어   jungkook 너의 이름은 뭔지 갈 곳이 있긴 한지 oh could you tell me 이 정원에 숨어든 널 봤어  pre jin and i know 너의 온긴 모두 다 진짜란 걸 푸른 꽃을 꺾는 손 잡고 싶지만   jimin 내 운명인 걸 don't smile to me light on me 너에게 다가설 수 없으니까 내겐 불러줄 이름이 없어  post jungkook you know that i can't show you me give you me 초라한 모습 보여줄 순 없어 또 가면을 쓰고 널 만나러 가 but i still want you   jin 외로움의 정원에 핀 너를 닮은 꽃 주고 싶었지 바보 같은 가면을 벗고서  pre jimin but i know 영원히 그럴 수는 없는 걸 숨어야만 하는 걸 추한 나니까   v 난 두려운 걸 초라해 im so afraid 결국엔 너도 날 또 떠나버릴까 또 가면을 쓰고 널 만나러 가  post jungkook 할 수 있는 건 정원에 이 세상에 예쁜 너를 닮은 꽃을 피운 다음 니가 아는 나로 숨쉬는 것 but i still want you i still want you   jin 어쩌면 그때 조금만 이만큼만 용길 내서 너의 앞에 섰더라면 지금 모든 건 달라졌을까   jimin jungkook 난 울고 있어 사라진 무너진 홀로 남겨진 이 모래성에서 부서진 가면을 바라보면서   jimin jungkook and i still want you but i still want you but i still want you but i still want you
4,BTS (방탄소년단),봄날 (Spring Day),You Never Walk Alone,2017,2017-02-13,rm 보고 싶다 이렇게 말하니까 더 보고 싶다 너희 사진을 보고 있어도 보고 싶다 너무 야속한 시간 나는 우리가 밉다 이젠 얼굴 한 번 보는 것 조차 힘들어진 우리가 여긴 온통 겨울 뿐이야 팔월에도 겨울이 와 마음은 시간을 달려가네 홀로 남은 설국열차 니 손 잡고 지구 반대편까지 가 겨울을 끝내고파 그리움들이 얼마나 눈처럼 내려야 그 봄날이 올까 friend  pre jimin v 허공을 떠도는 작은 먼지처럼 작은 먼지처럼 날리는 눈이 나라면 조금 더 빨리 네게 닿을 수 있을 텐데   jungkook  jhope jungkook v   jhope 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 보고 싶다 보고 싶다 보고 싶다 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 널 보게 될까 만나게 될까 만나게 될까 oohoohooh  post jungkook  jhope jungkook 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘 머물러줘   suga jimin 니가 변한 건지 니가 변한 건지 아니면 내가 변한 건지 아니면 내가 변한 건지 이 순간 흐르는 시간조차 미워 우리가 변한 거지 뭐 모두가 그런 거지 뭐 그래 밉다 니가 넌 떠났지만 단 하루도 너를 잊은 적이 없었지 난 솔직히 보고 싶은데 이만 너를 지울게 그게 널 원망하기보단 덜 아프니까  pre jin jimin 시린 널 불어내 본다 연기처럼 하얀 연기처럼 말로는 지운다 해도 사실 난 아직 널 보내지 못하는데   jungkook  jhope jungkook v  jhope 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 보고 싶다 보고 싶다 보고 싶다 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 널 보게 될까 만나게 될까 만나게 될까 ahahahah ah   v jungkook jimin you know it all you're my best friend 아침은 다시 올 거야 어떤 어둠도 어떤 계절도 영원할 순 없으니까   jimin   jhope jungkook jungkook  jhope v v  jimin 벚꽃이 피나봐요 이 겨울도 끝이 나요 보고 싶다 보고 싶다 ah 보고 싶다 보고 싶다 ahahah 조금만 기다리면 기다리면 며칠 밤만 더 새우면 만나러 갈게 만나러 갈게 데리러 갈게 데리러 갈게 yeah eheh yeah yeah  post jin  jhope jin 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘 머물러줘
5,BTS (방탄소년단),DNA,Love Yourself 承 ‘Her’,2017,2017-09-18,방탄소년단의 dna 가사   v 첫눈에 널 알아보게 됐어 hmmmm 서롤 불러왔던 것처럼 ooh oohoohoohooh 내 혈관 속 dna가 말해줘 hmmmm 내가 찾아 헤매던 너라는 걸 ooh oohoohoohooh   jhope  rm 우리 만남은 만남은 수학의 공식 수학의 공식 종교의 율법 율법 우주의 섭리 우주의 섭리 내게 주어진 운명의 증거 처 너는 내 꿈의 출처 처 take it take it 너에게 내민 내 손은 정해진 숙명  pre jungkook  v 걱정하지 마 love 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까   jimin  jungkook 우주가 생긴 그 날부터 계속 계속 무한의 세기를 넘어서 계속 계속 계속 yah 우린 전생에도 우린 전생에도 아마 다음 생에도 아마 다음 생에도 영원히 함께니까 dna  post jungkook 이 모든 건 우연이 아니니까 dna 운명을 찾아낸 둘이니까 dna   suga rm  jungkook i want it this love this love ii want it real love real love 난 너에게만 집중해 좀 더 세게 날 이끄네 태초의 dna dna 가 널 원하는데 하는데 이건 필연이야 i love us love us 우리만이 true lovers lovers 그녀를 볼 때마다 소스라치게 놀라 신기하게 자꾸만 숨이 멎는 게 참 이상해 설마 이런 게 말로만 듣던 사랑이란 감정일까 oh yeah 애초부터 내 심장은 널 향해 뛰니까  pre jin 걱정하지 마 love 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까   jungkook  jimin 우주가 생긴 그 날부터 계속 계속 무한의 세기를 넘어서 계속 계속 계속 yah 우린 전생에도 우린 전생에도 아마 다음 생에도 아마 다음 생에도 영원히 함께니까 dna  post jungkook 이 모든 건 우연이 아니니까 dna 운명을 찾아낸 둘이니까 dna   v jin jungkook  jimin 돌아보지 말아 운명을 찾아낸 우리니까 후회하지 말아 baby영원히 영원히 영원히 영원히 영원히 함께니까  pre jungkook  jimin 걱정하지 마 love ohohoh 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까 dna   jhope  jungkook lalalalala lalalalala 우연이 아니니까 dna lalalalala lalalalala 우연이 아니니까 dna
6,BTS (방탄소년단),MIC Drop (Steve Aoki Remix) [Desiigner Remix],NOW That’s What I Call Music! 65 [US],2017,2017-11-24,desiigner git git brrra git git damn son where'd you get that from git git hey brrra damn hey brrra git git damn bro   desiigner bentley basketball uh git we playin' that a lot huh i'ma just get to the chicken whip it git yuh then i flip it then trap it all huh git git brrra trap it all i gotta get to the dolla  on the haters and back 'em off git git brrra back smokin' on gas a lot ready to wack 'em all huh huh wack 'em all wack 'em all brrr brrr wack clap clap clap clap clap 'em all huh this what i do to the haters the choppa hit 'em tell 'em back 'em off huh she like apple jack huh git jack i like apple sauce huh huh brrra that's a boss huh huh boss git git that's the cost huh huh cost brrra git git why you tryna flex and your fashion off brrra flex chain around my neck and her  soft ayy smokin' on that gas i ain't passin' off git git smoke asthma cough asthma fashion law flexin' stash it off brrra stash stash dash in' off dash flash it off brrra flash don't pass it off hey hey i'ma just get to the chicken and trap hard hard hard with all my  pre v jungkook jimin jin did you see my bag where did you see my bag where it's hella trophies and it's hella thick hella thick hella thick what you think 'bout that well what you think 'bout that well i bet it got my haters hella sick hella sick come and follow me follow me with your signs up uh i'm so firin' firin' boy your time's up uh keep on runnin' and runnin' until i catch up uh how you dare how you dare how you dare dare ah   jungkook rm  suga jimin rm  jhope another trophy my hands carry 'em hey too many that i can't even count 'em turn it up now mic drop mic drop 발 발 조심 너네 말 말조심 somebody stop me i'm 'bout to pop off pop too busy you know my body ain't enough turn it up now mic drop mic drop 발 발 조심 너네 말 말조심   suga jhope rm  desiigner baby watch your mouth mouth it come back around 'round once upon a time time we learned how to fly fly go look at your mirror ooh same damn clothes git you know how i feel ooh 개행복 turn up how many hours do we fly ooh i keep on dreamin' on the cloud hah yeah i'm on the mountain yeah i'm on the bay pop everyday we vibin' mic drop bam  pre jungkook v jimin  jin did you see my bag where did you see my bag where it's hella trophies and it's hella thick hella thick hella thick what you think 'bout that well what you think 'bout that well i bet it got my haters hella sick hella sick come and follow me follow me with your signs up uh i'm so firin' firin' boy your time's up uh keep on runnin' and runnin' until i catch up uh how you dare how you dare how you dare dare ah   jungkook rm  suga jimin rm  jhope another trophy my hands carry 'em hey too many that i can't even count 'em turn it up now mic drop mic drop 발 발 조심 너네 말 말조심 somebody stop me i'm 'bout to pop off pop too busy you know my body ain't enough turn it up now mic drop mic drop 발 발 조심 너네 말 말조심   rm haters gon' hate players gon' play live a life man yah good luck   jin v jungkook jimin jungkook  jimin 더 볼 일 없어 마지막 인사야 할 말도 없어 사과도 하지 마 더 볼 일 없어 마지막 인사야 할 말도 없어 사과도 하지 마 잘 봐 넌 그 꼴 나지 우린 탁 쏴 마치 콜라지 너의 각막 깜짝 놀라지 꽤 꽤 폼 나지 포 포 폼 나지 yeah
7,BTS (방탄소년단),Intro: Serendipity (세렌디피티),Love Yourself 承 ‘Her’,2017,2017-09-04,verse 이 모든건 우연이 아냐 그냥 그냥 나의 느낌으로 온 세상이 어제완 달라 그냥 그냥 너의 기쁨으로 네가 날 불렀을 때 나는 너의 꽃으로 기다렸던 것 처럼 우리 시리도록 펴 어쩌면 우주의 섭리 그냥 그랬던 거야 you know i know 너는 나 나는 너  pre 설레는 만큼 많이 두려워 운명이 우릴 자꾸 질투해서 너만큼 나도 많이 무서워 when you see me when you touch me 우주가 우릴 위해 움직였어 조금의 어긋남 조차 없었어 너와 내 행복은 예정됐던 걸 'cause you love me and i love you   넌 내 푸른 곰팡이 날 구원해준 나의 천사 나의 세상 난 네 삼색 고양이 널 만나러 온 love me now touch me now  refrain just let me love you let me love let me love you just let me love you let me love let me love you 우주가 처음 생겨났을 때부터 모든 건 정해진 거였어 just let me love you let me love let me love you   let me love let me love you let me love let me love you
8,BTS (방탄소년단),Euphoria,LOVE YOURSELF 結 ‘Answer’,2018,2018-04-06,방탄소년단의 euphoria 가사   jungkook 너는 내 삶에 다시 뜬 햇빛 어린 시절 내 꿈들의 재림 모르겠어 이 감정이 뭔지 혹시 여기도 꿈속인 건지 꿈은 사막의 푸른 신기루 내 안 깊은 곳의 a priori 숨이 막힐 듯이 행복해져 주변이 점점 더 투명해져  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그 곳으로 가 take my hands now you are the cause of my euphoria   jungkook euphoria take my hands now you are the cause of my euphoria oh yeah yeah yeah yeah yeah yeah oh oh yeah yeah yeah yeah yeah yeah euphoria oh yeah yeah yeah yeah yeah yeah close the door now when i'm with you i'm in utopia   jungkook 무지개처럼 지워진 꿈을 찾아 헤맸을까 운명 같은 흔한 말관 달라 아픈 너의 눈빛이 나와 같은 곳을 보는 걸 won't you please stay in dreams yeah  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그곳으로 가 take my hands now you are the cause of my euphoria   jungkook oh yeah yeah yeah yeah yeah yeah euphoria take my hands now you are the cause of my euphoria   jungkook 모래 바닥이 갈라진대도 그 누가 이 세겔 흔들어도 잡은 손 절대 놓지 말아 줘 제발 꿈에서 깨어나지 마  pre jungkook 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 제발 꿈에서 깨어나지 마 선명해지는 그곳으로 가 take my hands now you are the cause of my euphoria   jungkook yeah yeah yeah yeah euphoria euphoria oh take my hands now you are the cause of my euphoria oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah yeah oh euphoria oh yeah yeah yeah yeah yeah yeah close the door now when i'm with you i'm in utopia
9,BTS (방탄소년단),Airplane pt.2,LOVE YOURSELF 轉 ‘Tear’,2018,2018-05-18,방탄소년단의 airplane pt  가사   jungkook 이상한 꼬마 숨쉬듯 노래했네 어디든 좋아 음악이 하고 싶었네 오직 노래 심장을 뛰게 하던 thing 하나뿐이던 길을 걸었지만   jimin v 쉽지 않아 실패와 절망 지친 날 누군가 불러 세워 건넨 말 youre a singing star youre a singing star but i see no star 몇 년이 흘러가버린 뒤  pre jin rm we still sky high sky fly sky dope we still same try same scar same work we still 세상 어딜 가도 we still 호텔방서 작업 i still 하루는 너무 잘 돼 그 다음날은 망해 i still 오늘은 뭐로 살지 김남준 아님 rm 스물다섯 잘 사는 법은 아직도 보르겠어 그러니 오늘도 우리는 그냥 go   jimin jungkook we goin from ny to cali london to paris 우리가 가는 그 곳이 어디든 party el mariachi el mariachi el mariachi  we goin from tokyo italy hong kong to brazil 이 세계 어디서라도 난 노래하리 el mariachi el mariachi el mariachi el mariachi   jhope 구름 위를 매일 구름 위를 매일 구름 위에 내 feel 구름 위에 check it 구름과의 케미 구름과 하루 종일 구름 타는 재미 구름 보며 fade in 너흰 몰라 maybe 몇 년 동안의 비행 탓에 마일리지만 몇 심만 대 못 이룬 너희들을 위로해줄 때야 그 비행 포인트로 선물 할게 love 에어플레인 모드 신경은 다 off 그 누구든지 뭐라던 그저 계속 퍼스트를 지키며 밤 하늘을 볼게 지금 내 자리에 맞춰   jimin suga i dont know i dont know i dont know i dont know 그래 멈추는 법도 i dont know i dont know i dont know i dont know 그래 좀 쉬는 법도 i dont know i dont know i dont know i dont know 실패하는 법도 i dont know i dont know i dont know i dont know tv 나와서 귀여운 돈 자랑들은 fed up 여권은 과로사 직전 미디어의 혜택은 되려 너네가 받았지 깔깔깔깔 야 야 셀럽놀이는 너네가 더 잘해 우린 여전히 그때와 똑같어 woo   v jin we goin from mexico city london to paris 우리가 가는 그 곳이 어디든 party el mariachi el mariachi el mariachi  we goin from tokyo italy hong kong to brazil 이 세계 어디서라도 난 노래하리 el mariachi el mariachi el mariachi el mariachi el mari hoo
