,Artist,Title,Album,Year,Date,Lyric
0,Cardi B,WAP,,2020,2020-08-07,cardi b al t mclaran  megan thee stallion whores in this house there's some whores in this house there's some whores in this house there's some whores in this house hol' up i said certified freak seven days a week wetass pussy make that pullout game weak woo ah   cardi b yeah yeah yeah yeah yeah you fuckin' with some wetass pussy bring a bucket and a mop for this wetass pussy give me everything you got for this wetass pussy   cardi b  megan thee stallion beat it up nigga catch a charge extra large and extra hard put this pussy right in your face swipe your nose like a credit card hop on top i wanna ride i do a kegel while it's inside spit in my mouth look in my eyes this pussy is wet come take a dive tie me up like i'm surprised let's roleplay i'll wear a disguise i want you to park that big mack truck right in this little garage make it cream make me scream out in public make a scene i don't cook i don't clean but let me tell you how i got this ring ayy ayy   megan thee stallion gobble me swallow me drip down the side of me yeah quick jump out 'fore you let it get inside of me yeah i tell him where to put it never tell him where i'm 'bout to be huh i'll run down on him 'fore i have a nigga runnin' me pow pow pow talk your shit bite your lip yeah ask for a car while you ride that dick while you ride that dick you really ain't never gotta fuck him for a thang yeah he already made his mind up 'fore he came ayy ah now get your boots and your coat for this wetass pussy ah ah ah he bought a phone just for pictures of this wetass pussy click click click paid my tuition just to kiss me on this wetass pussy mwah mwah mwah now make it rain if you wanna see some wetass pussy yeah yeah   cardi b  megan thee stallion look i need a hard hitter need a deep stroker need a henny drinker need a weed smoker not a garter snake i need a king cobra with a hook in it hope it lean over he got some money then that's where i'm headed pussy a just like his credit he got a beard well i'm tryna wet it i let him taste it now he diabetic i don't wanna spit i wanna gulp i wanna gag i wanna choke i want you to touch that lil' dangly thing that swing in the back of my throat my head game is fire punani dasani it's goin' in dry and it's comin' out soggy i ride on that thing like the cops is behind me yeah ah i spit on his mic and now he tryna sign me woo  4 megan thee stallion your honor i'm a freak bitch handcuffs leashes switch my wig make him feel like he cheatin' put him on his knees give him somethin' to believe in never lost a fight but i'm lookin' for a beatin' ah in the food chain i'm the one that eat ya if he ate my ass he's a bottomfeeder big d stand for big demeanor i could make ya bust before i ever meet ya if it don't hang then he can't bang you can't hurt my feelings but i like pain if he fuck me and ask whose is it when i ride the dick i'ma spell my name ah   cardi b yeah yeah yeah yeah you fuckin' with some wetass pussy bring a bucket and a mop for this wetass pussy give me everything you got for this wetass pussy now from the top make it drop that's some wetass pussy now get a bucket and a mop that's some wetass pussy i'm talkin' wap wap wap that's some wetass pussy macaroni in a pot that's some wetass pussy huh   al t mclaran there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house there's some whores in this house
1,Cardi B,Bodak Yellow,Invasion of Privacy,2017,2017-06-16,ksr it's cardi ayy said i'm the shit they can't fuck with me if they wanted to i don't gotta dance   said lil' bitch you can't fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get 'em both i don't wanna choose and i'm quick cut a nigga off so don't get comfortable look i don't dance now i make money moves ayy ayy say i don't gotta dance i make money move if i see you and i don't speak that means i don't fuck with you i'm a boss you a worker bitch i make bloody moves   now she say she gon' do what to who let's find out and see cardi b you know where i'm at you know where i be you in the club just to party i'm there i get paid a fee i be in and out them banks so much i know they're tired of me honestly don't give a fuck 'bout who ain't fond of me dropped two mixtapes in six months what bitch working as hard as me i don't bother with these hoes don't let these hoes bother me they see pictures they say goals bitch i'm who they tryna be look i might just chill in some bape i might just chill with your boo i might just feel on your babe my pussy feel like a lake he wanna swim with his face i'm like okay i'll let him get what he want he buy me yves saint laurent and the new whip when i go fast as a horse i got the trunk in the front vroom vroom i'm the hottest in the street know you prolly heard of me got a bag and fixed my teeth hope you hoes know it ain't cheap and i pay my mama bills i ain't got no time to chill think these hoes be mad at me their baby father run a bill   said lil' bitch you can't fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get 'em both i don't wanna choose and i'm quick cut a nigga off so don't get comfortable look i don't dance now i make money moves say i don't gotta dance i make money moves if i see you and i don't speak that means i don't fuck with you i'm a boss you a worker bitch i make bloody moves   if you a pussy you get popped you a goofy you a opp don't you come around my way you can't hang around my block and i just checked my accounts turns out i'm rich i'm rich i'm rich i put my hand above my hip i bet you dip he dip she dip i say i get the money and go this shit is hot like a stove my pussy glitter is gold tell that lil' bitch play her role i just arrive in a rolls i just came up in a wraith i need to fill up the tank no i need to fill up the safe i need to let all these hoes know that none of their niggas is safe i go to dinner and steak only the real can relate i used to live in the p's now it's a crib with a gate rollie got charms look like frosted flakes had to let these bitches know just in case these hoes forgot i just run and check the mail another check from mona scott   said lil' bitch you can't fuck with me if you wanted to these expensive these is red bottoms these is bloody shoes hit the store i can get 'em both i don't wanna choose and i'm quick cut a nigga off so don't get comfortable look i don't dance now i make money moves say i don't gotta dance i make money move if i see you and i don't speak that means i don't fuck with you i'm a boss you a worker bitch i make bloody moves
2,Cardi B,Bartier Cardi,Invasion of Privacy,2017,2017-12-22,cardi b   savage bardi in a 'rari diamonds all over my body 0 you a fool for this one shinin' all over my body bardi put that lil' bitch on molly bardi bitch on molly cheeze  diamonds all over my body fucked that bitch on molly ksr ask him if i'm 'bout it   cardi b   savage your bitch wanna party with cardi cartier bardi in a 'rari  diamonds all over my body cardi shinin' all over my body my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain  i go insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset  cardi took your man you upset uh cardi got rich they upset yeah  cardi put the pussy on offset cardi cartier cardi b brain on offset who's cardi   cardi b who get this motherfucker started cardi who took your bitch out to party cardi i took your bitch and departed cardi who that be fly as a martian cardi who that on fleek in the cut cardi who got the bricks in the truck cardi them diamonds gon' hit like a bitch on a bitchy ass bitch bitch you a wannabe cardi red bottom mj moonwalk on a bitch moonwalkin' through your clique i'm moonwalkin' in the 6 sticky with the kick moonrocks in this bitch i'm from the motherfuckin' bronx bronx i keep the pump in the trunk trunk bitch if you bad then jump jump might leave your bitch in a slump your back   cardi b   savage your bitch wanna party with cardi cartier bardi in a 'rari  diamonds all over my body cardi shinin' all over my body my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain  i go insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset  cardi took your man you upset uh cardi got rich they upset yeah  cardi put the pussy on offset cardi cartier cardi b brain on offset    savage your bitch wanna party with a savage  saint laurent savage in an aston yeah high end cars and fashion  i don't eat pussy i'm fastin' on god i'm a blood my brother crippin' bitch i'm drippin' ho you trippin' told the waitress i ain't tippin' i like hot sauce on my chicken on god i pulled the rubber off and i put hot sauce on her titties  i'm in a bentley truck she keep on suckin' like it's tinted  all these vvss nigga my sperm worth millions on god the bitch so bad i popped a molly 'fore i hit it     cardi b   savage your bitch wanna party with cardi cartier bardi in a 'rari  diamonds all over my body cardi shinin' all over my body my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain  i go insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset  cardi took your man you upset uh cardi got rich they upset yeah  cardi put the pussy on offset cardi cartier cardi b brain on offset who's cardi   cardi b step in this bitch in givenchy cash fuck up a check in givenchy cash boss out the coupe and them inches i fuck up a bag at the fendi i fuck up a bag in a minute who you know drip like this who you know built like this i'm poppin' shit like a dude pull up to pop at your crew brrrt poppin' at you woo they say you basic i flooded the rollie with diamonds i flooded the patek and bracelet i got your bitch and she naked ice on the cake when i bake it i'm switchin' lanes in the range swap out the dick for the brain swap out your bitch for your main swap out the trap for the fame ice on them cardi b cartier frames bitch   cardi b   savage your bitch wanna party with cardi cartier bardi in a 'rari  diamonds all over my body cardi shinin' all over my body my body cardi got your bitch on molly bitch you ain't gang you lame bentley truck lane to lane blow out the brain  i go insane insane i drop a check on the chain fuck up a check in the flame cardi took your man you upset uh cardi got rich they upset yeah from what cardi put the pussy on offset say what cartier cardi b brain on offset  cardi took your man you upset uh cardi got rich they upset yeah  cardi put the pussy on offset cardi cartier cardi b brain on offset who's cardi
3,Cardi B,Be Careful,Invasion of Privacy,2018,2018-03-30,yeah care for me care for me care for me uh yeah look   i wanna get married like the currys steph and ayesha shit but we more like bellytommy and keisha shit gave you tlc you wanna creep and shit poured out my whole heart to a piece of shit man i thought you would've learned your lesson 'bout likin' pictures not returnin' texts i guess it's fine man i get the message you still stutter after certain questions you keep in contact with certain exes do you though trust me nigga it's cool though said that you was workin' but you out here chasin' culo and putas chillin' poolside livin' two lives i could've did what you did to me to you a few times but if i did decide to slide find a nigga fuck him suck his dick you would've been pissed but that's not my mo i'm not that type of bitch and karma for you is gon' be who you end up with you make me sick nigga   the only man baby i adore i gave you everything what's mine is yours i want you to live your life of course but i hope you get what you dyin' for be careful with me do you know what you doin' whose feelings that you're hurtin' and bruisin' you gon' gain the whole world but is it worth the girl that you're losin' be careful with me yeah it's not a threat it's a warnin' be careful with me yeah my heart is like a package with a fragile label on it be careful with me   care for me care for me always said that you'd be there for me there for me boy you better treat me carefully carefully look   i was here before all of this guess you actin' out now you got an audience tell me where your mind is drop a pin what's the coordinates you might have a fortune but you lose me you still gon' be misfortunate nigga tell me this lust got you this fucked up in the head you want some random bitch up in your bed she don't even know your middle name watch her 'cause she might steal your chain you don't want someone who loves you instead i guess not though it's blatant disrespect you nothin' like the nigga i met talk to me crazy and you quick to forget you even got me trippin' you got me lookin' in the mirror different thinkin' i'm flawed because you inconsistent between a rock and a hard place the mud and the dirt it's gon' hurt me to hate you but lovin' you's worse it all stops so abrupt we started switchin' it up teach me to be like you so i can not give a fuck free to mess with someone else i wish these feelings could melt 'cause you don't care about a thing except your mothafuckin' self you make me sick nigga   the only man baby i adore i gave you everything what's mine is yours i want you to live your life of course but i hope you get what you dyin' for be careful with me do you know what you doin' whose feelings that you're hurtin' and bruisin' you gon' gain the whole world but is it worth the girl that you're losin' be careful with me yeah it's not a threat it's a warnin' be careful with me yeah my heart is like a package with a fragile label on it be careful with me
4,Cardi B,Money,,2018,2018-10-22,look my bitches all bad my niggas all real i ride on his dick in some big tall heels big fat checks big large bills front i'll flip like ten cartwheels cold ass bitch i give broads chills ten different looks and my looks all kill i kiss him in the mouth i feel all grills he eat in the car that's meals on wheels woo   i was born to flex yes diamonds on my neck i like boardin' jets i like mornin' sex woo but nothing in this world that i like more than checks money all i really wanna see is the money i don't really need the d i need the money all a bad bitch need is the money flow i got bands in the coupe coupe bustin' out the roof i got bands in the coupe coupe touch me i'll shoot bow shake a lil ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get a little more money i got bands in the coupe coupe bustin' out the roof i got bands in the coupe brrr bustin' out the roof cardi   i gotta fly i need a jet shit i need room for my legs i got a baby i need some money yeah i need cheese for my egg all y'all bitches in trouble bring brass knuckles to the scuffle i heard that cardi went pop yeah i did go pop pop that's me bustin' they bubble i'm dasani with the drip baby mommy with the clip walk out follie's with a bitch bring a thottie to the whip if she fine or she thick goddamn walkin' past the mirror ooh damn i'm fine fine let a bitch try me boom boom hammer time uh   i was born to flex yes diamonds on my neck i like boardin' jets i like mornin' sex woo but nothing in this world that i like more than checks money all i really wanna see is the money i don't really need the d i need the money all a bad bitch need is the money flow i got bands in the coupe coupe bustin' out the roof i got bands in the coupe coupe touch me i'll shoot bow shake a lil ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get a little more money i got bands in the coupe coupe bustin' out the roof i got bands in the coupe brrr touch me i'll shoot bow   bitch i will pop on your pops your pops bitch i will pop on whoever brrr you know who pop the most shit who the people whose shit not together okay you'da bet cardi a freak freak all my pajamas is leather uh bitch i will black on your ass yeah wakanda forever sweet like a honey bun spit like a tommy gun rollie a one of one come get your mommy some cardi at the tiptop bitch kiss the ring and kick rocks sis mwah jump it down back it up ooh ayy make that nigga put down k i like my niggas dark like d'ussé he gonna eat this ass like soufflé   i was born to flex diamonds on my neck i like boardin' jets i like mornin' sex but nothing in this world that i like more than kulture kulture kulture kulture all i really wanna see is the money i don't really need the d i need the money all a bad bitch need is the kkc woo   money money money money money money money money
5,Cardi B,Press,,2019,2019-05-31,monsta's gon' tear it up bardi woo yeah bitches be pressed woo bitches be pressed pressed woo yeah yeah woo   bitches be pressed pressed they knew how i'm coming real bitch in the flesh woo who the fuck she gon' check who she be talking that shit talkin' out of her neck brr put blood on her dress woo bitches be mad when they see cardi step in the spot woah said that you 'bout it we know that you not i'ma pull up on bitches as soon as i drop bought a new foreign i might cop a yacht skrrt bitches in my business they tryna plot woo hoes poppin' shit like they hot but they not no just flooded the wrist the patek the watch woah niggas be flexing we know what you got cardi done had got the game in a knot fuckin' your nigga i got him on lock this go bang bang like i'm choppin' them chops vvs chain i'm in love with the rocks woah you said you gon' take it bitch you got me chopped woah they throwin' shade 'cause they see me on top tell that bitch to pull up i'ma send you the drop   press press press press press cardi don't need more press kill 'em all put them hoes to rest walk in bulletproof vest please tell me who she gon' check murder scene cardi made a mess pop up guess who bitch pop up guess who bitch   ding dong must be that whip that i ordered and a new crib for my daughter you know a bad bitch gon' spoil her got one in new york need one in georgia yeah new bentley truck cost a quarter quarter my money still long like weave woo pussy still wet like florida woo everyone drop on the floor she was talkin' but not anymore no mac to your face like contour brr this chopper come straight from dior done with the talkin' i'm open to violence ask anybody they know i'm about it hashtag whip that ho ass fuck around we gon' start a new challenge woo i come in this bitch and i'm strapped up and ready ridin' that dick like i'm cardi andretti fuck at your crib we don't go to no 'telly i sit on his face whenever i'm ready woo bitch i'm a freak like greek like greek got the biggest house on my street my street all you little hoes look cheap look cheap they suckin' on my dick with no teeth   press press press press press cardi don't need more press kill 'em all put them hoes to rest walk in bulletproof vest please tell me who she gon' check murder scene cardi made a mess pop up guess who bitch pop up guess who bitch   press press press press press press press press press press press press pop up guess who bitch pop up guess who bitch
6,Cardi B,I Do,Invasion of Privacy,2018,2018-04-06,mmmmurda   sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do   cardi b i think us bad bitches is a gift from god gift from god i think you broke hoes need to get a job get a job now i'm a boss i write my own name on the checks cardi pussy so good i say my own name during sex i might smack a bitch 'cause i felt like it gucci shoes and a belt like it said that cardi is his favorite fragrance i'm a rich bitch and i smell like it i'm in a boss bitch mood ayy these heels are givenchy ho these are some boss bitch shoes if you ain't no boss bitch move ayy for the record i set record record sales i like niggas that been in and outta jail they said by now that i'll be finished hard to tell i can tell my little fifteen minutes lasting long as hell huh   sza left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do   cardi b look broke hoes do what they can can good girls do what they told told bad bitches do what they want they want that's why a bitch is so cold i'm a gangsta in a dress i'm a bully in the bed only time that i'm a lady's when i lay these hoes to rest the coupe is roofless but i get top in it i'm provocative it's my prerogative 80k just to know what time is it cardi rockin' it go buy stock in it spend what i want ain't no limit i say what i want i ain't never been timid only real shit comes out my mouth and only real niggas go in it leave his texts on read leave his balls on blue put it on airplane mode so none of those calls come through here's a word to my ladies don't you give these niggas none give 'em none if they can't make you richer they can't make you cum egh   sza i left a nigga on read 'cause i felt like it dress me down in that raf saint laurent jacket dapper dapper i look fine and my checks divine no wonder wonder why i do whatever i like i do what i like i do i do i do what i like i do i do i do what i like i do i do i do what i like i do i do
7,Cardi B,Thru Your Phone,Invasion of Privacy,2018,2018-04-06,cardi b look i just want to break up all your shit call your mama phone let her know that she raised a bitch then dial tone click and fuck your little fake ass friends come around actin' like they my bros i seen y'all little group texts where you all like to brag about your hoes and you can tell your little bitch i screenshotted all her naked pics oh you wanna send nudes to my man wake up and see your boobs on the 'gram lil' bitch i cannot stand you right hand to jesus i might just cut all the tongues out your sneakers smash your tv from best buy you gon' turn me into left eye i don't wanna hear 'bout invasion of privacy i had a feeling it turns out you lie to me i'm holdin' back everything that's inside of me how you out fuckin' with bitches that follow me  pre ali tamposi  cardi b my heart is beating like it's bleeding out you sleepin' you sleepin' you sleepin' you sleeping like a baby everyone was right about you now and you creepin' you creepin' you creepin'   ali tamposi  cardi b i went through your phone last night i went through your phone last night saw some things i didn't like i went through your phone last night it's killin' me killin' me killin' me oh   cardi b all i can see is you and her in different scenarios beyoncé on my stereo resentment on repeat i'ma make your bowl of cereal with a teaspoon of bleach serve it to you like here you go nigga bon appétit look did you give it to her raw you love her or nah you risk your whole home for a ho from the bar you really want them hoes you can have them bitches you don't even cheat with no badder bitches this shit is eatin' me you sleepin' peacefully gettin' more mad at you thinkin' 'bout stabbin' you don't even know that you this close to dyin' you gon' wake up like why you got an attitude  pre ali tamposi  cardi b my heart is beating like it's bleeding out you sleepin' you sleepin' you sleepin' you sleeping like a baby everyone was right about you now and you creepin' you creepin' you creepin'   ali tamposi  cardi b i went through your phone last night i went through your phone last night saw some things i didn't like i went through your phone last night it's killin' me killin' me killin' me oh   ali tamposi  cardi b it's killin' me it's killin' me killin' me killin' me oh it's killin' me it's killin' me killin' me killin' me oh it's killin' me it's killin' me killin' me killin' me oh it's killin' me   ali tamposi  cardi b i went through your phone last night i went through your phone last night saw some things i didn't like i went through your phone last night it's killin' me killin' me killin' me oh
8,Cardi B,Drip,Invasion of Privacy,2018,2018-04-04,cardi b that boy cassius cardi nnnonstop   cardi b  offset came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice   cardi b give me little something to remember cardi tryna make love in a sprinter yeah quick to drop a nigga like kemba go lookin' like a right swipe on tinder woo shit on these hoes shit light up my wrist on these hoes wrist now i look down on these bitches down i feel like i'm on stilts on these hoes woo fuck ya' baby daddy right now right now anna mae got cake by the pound pound go down eat it up don't drown mac n' cheese in the bowl how it sound sound i got that gushy yeah that's a fact but i never been pussy i've been that bitch since pajamas with footies won mvp and i'm still a rookie like woo i gotta work on my anger ayy might kill a bitch with my fingers ayy i gotta stay outta gucci woo i'm finna run outta hangers woo is she a stripper a rapper or a singer i'm busting bucks in a bentley bentayga ride through your hood like bitch i'm the mayor you not my bitch then bitch you in danger   cardi b  offset came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice  refrain offset bitch you a thot ain't trickin' thot thot put her on her knee make her lick it lick it patek on my wrist and it's glistenin' drip drip the bitch got mad i dissed her hey   offset shawty you ain't nothin' to a rich nigga nothin' i'll put a check on a bitch nigga brrt fuck your whole set and your clique nigga fuck 'em got a gang full of dud and some broke niggas dud diamonds on me what's the price price i'm not gettin' involved with the hype hype i'm too rich to get into a fight too rich 50 racks got my jeans fittin' tight 50 racks pay the price and them boys come and wipe ya' wipe ya' we had to dispose of the diaper dispose yeah we trap every week every night whoa word my move we too smooth no indictments hey yeah freakazoid lightnin' lightnin' 57 90 in this breitling breit' when i got a mil i got excited million for the cash i'ma turn to michael myers baguettes keep dripping droppin' drip my wrist all liquid watches watch told the bitch jump on my dick and pop it yeah get a little bitch a deposit hey brrt   cardi b came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice  refrain offset bitch you a thot ain't trickin' thot thot put her on her knee make her lick it lick it patek on my wrist and it's glistenin' uh drip drip the bitch got mad i dissed her hey   takeoff taketakeoff came through drippin' drippin' i ain't never slippin' i'm a pimp pimp fuckin' with a quarter million nigga what a feelin' feelin' abort the mission nigga they be tellin' off and squealin' squealin' splash took a bitch to piccadilly splash water in my ear gave a nigga wet willy wet willy came through drippin' spillin' walkin' with the bag bag tryna get my niggas all a milli stack it to the ceilin' ceilin' shootin' at civilians 'villians i'm the one dealin' i could make a killin' killin' bags can you smell it when i vacseal it uh flag nigga throw it up don't care about your feelings fuck 'em ooh what is this what you wearin' i be drippin' what cal ripken's hit a nigga ken griffey home run the bitch got thick so i guess she ate jiffy when she leave with me i'ma fly her back to the city for sure  4 quavo go get the bag on the day off tacks go get the rings out the playoffs rings pots in the beat it's a bake off packs fuck on her then she get laid off smash big boy tools maaco big boy make a bitch dance with a draco dance walkin' with the cheese that queso cheese that's huncho fuck the rodeo huncho private jet we don't do layover whew one call i'm havin' your bae over brrt walk out the spot with a makeover woo got her addicted to payola addicted hey   cardi b  offset came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice came through drippin' drip drip came through drippin' drip drip came through drippin' drip drip diamonds on my wrist they drippin' ice
9,Cardi B,Ring,Invasion of Privacy,2018,2018-04-06,kehlani ooh ooh ring ring ring ring   kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring i can't keep this on the low i want you to make it ring ring ring ring   cardi b should i call first i can't decide i want to but a bitch got pride the switchin' up shit is what i can't fuck with i'm feelin' you but you hard to get in touch with and you ain't hit me up in a while actin' like you don't know what number to dial you quit then that's it i'ma throw in the towel 'cause a nigga only gon' do what you allow you don't want this gun smoke learn to text with your nose if your thumb broke i don't care if we get into it and i stall on your ass better still wake up to missed calls from your ass nigga   kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring i can't keep this on the low i want you to make it ring ring ring ring   cardi b nah nigga now you gon' have to call me call me 'cause i'm lookin' at these messages they on me yeah actin' like they ain't niggas that want me let another nigga in your spot and you gon' be hot nigga coffee you gon' be sick to your stomach hit me when you free 800 it's emergency call me 9 'cause right now i'm out here tryna find someone the ring on my phone ring on my finger brrr you actin' like you ain't tryna do either yeah once a good girl watch me turn diva here goes my heart i put it on speaker oh   kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring i can't keep this on the low i want you to make it ring ring ring ring   kehlani you used to be on my line on my tick all the time yeah love it when you make me feel like you don't mind when i ain't got time for you and no it don't go to my head i'm only arrogant in bed i just love to know you wanna spend time with me instead now you all caught up yeah you all caught up and you done left me alone yeah you was all fed up ready for the next step wanna be on your own said i just miss you i just miss us baby all i know is   kehlani you don't hit my line no more oh oh you don't make it ring ring ring ring you don't make it ring baby i can't keep this on the low yeah yeah oh i want you to make it ring ring ring ring
