,Artist,Title,Album,Year,Date,Lyric
0,Dua Lipa,New Rules,Dua Lipa,2017,2017-06-02,one one one one one   talkin' in my sleep at night makin' myself crazy out of my mind out of my mind wrote it down and read it out hopin' it would save me too many times too many times  refrain my love he makes me feel like nobody else nobody else but my love he doesn't love me so i tell myself i tell myself  pre one don't pick up the phone you know he's only callin' 'cause he's drunk and alone two don't let him in you'll have to kick him out again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em i gotta tell them to myself i got new rules i count 'em i gotta tell them to myself   i keep pushin' forwards but he keeps pullin' me backwards nowhere to turn no way nowhere to turn no now i'm standin' back from it i finally see the pattern i never learn i never learn  refrain but my love he doesn't love me so i tell myself i tell myself i do i do i do  pre one don't pick up the phone you know he's only callin' 'cause he's drunk and alone two don't let him in you'll have to kick him out again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em i gotta tell them to myself i got new rules i count 'em i gotta tell them to myself   practice makes perfect i'm still tryna learn it by heart i got new rules i count 'em eat sleep and breathe it rehearse and repeat it 'cause i i got new  pre one don't pick up the phone yeah you know he's only callin' 'cause he's drunk and alone alone two don't let him in uhooh you'll have to kick him out again again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em whoaooh whoaooh whoa i gotta tell them to myself i got new rules i count 'em baby you know i count 'em i gotta tell them to myself   don't let him in don't let him in don't don't don't don't don't be his friend don't be his friend don't don't don't don't don't let him in don't let him in don't don't don't don't don't be his friend don't be his friend don't don't don't don't you're gettin' over him
1,Dua Lipa,Don’t Start Now,Future Nostalgia,2019,2019-11-01,if you don't wanna see me   did a full 80 crazy thinking 'bout the way i was did the heartbreak change me maybe but look at where i ended up i'm all good already so moved on it's scary i'm not where you left me at all so  pre if you don't wanna see me dancing with somebody if you wanna believe that anything could stop me   don't show up don't come out don't start caring about me now walk away you know how don't start caring about me now   aren't you the guy who tried to hurt me with the word goodbye though it took some time to survive you i'm better on the other side i'm all good already so moved on it's scary i'm not where you left me at all so  pre if you don't wanna see me dancing with somebody if you wanna believe that anything could stop me don't don't don't   don't show up don't come out don't start caring about me now walk away you know how don't start caring about me now 'bout me now 'bout me   up up don't come out out out don't show up up up don't start now oh up up don't come out out i'm not where you left me at all so  pre if you don't wanna see me dancing with somebody if you wanna believe that anything could stop me   don't show up don't show up don't come out don't come out don't start caring about me now 'bout me now walk away walk away you know how you know how don't start caring about me now so   up up don't come out out out don't show up up up walk away walk away so up up don't come out out out don't show up up up walk away walk away oh
2,Dua Lipa,IDGAF,Dua Lipa,2017,2017-06-02,you call me all friendly tellin' me how much you miss me that's funny i guess you've heard my songs well i'm too busy for your business go find a girl who wants to listen 'cause if you think i was born yesterday you have got me wrong  pre so i cut you off i don't need your love 'cause i already cried enough i've been done i've been movin' on since we said goodbye i cut you off i don't need your love so you can try all you want your time is up i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up 'cause if you think i care about you now well boy i don't give a fuck   i remember that weekend when my best friend caught you creepin' you blamed it all on the alcohol so i made my decision 'cause you made your bed sleep in it play the victim and switch your position i'm through i'm done  pre so i cut you off i don't need your love 'cause i already cried enough i've been done i've been movin' on since we said goodbye i cut you off i don't need your love so you can try all you want your time is up i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up 'cause if you think i care about you now well boy i don't give a fuck  post i see you tryna get to me i see you beggin' on your knees boy i don't give a fuck so stop tryna get to me tch get up off your knees 'cause boy i don't give a fuck   about you no i don't give a damn you keep reminiscin' on when you were my man but i'm over you now you're all in the past you talk all that sweet talk but i ain't comin' back  breakdown cut you off i don't need your love so you can try all you want your time is up i'll tell you why i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up too late now 'cause if you think i care about you now well boy i don't give a fuck boy i don't give a  post i see you tryna get to me i see you beggin' on your knees boy i don't give a fuck so stop tryna get to me get to me tch get up off your knees 'cause boy i don't give a fuck
3,Dua Lipa,Blow Your Mind (Mwah),Dua Lipa,2016,2016-08-26,i know it's hot i know we've got something that money can't buy fighting in fits biting your lip loving 'til late in the night  pre tell me i'm too crazy you can't tame me can't tame me tell me i have changed but i'm the same me old same me inside hey   if you don't like the way i talk then why am i on your mind if you don't like the way i rock then finish your glass of wine we fight and we argue you'll still love me blind if we don't fuck this whole thing up guaranteed i can blow your mind mwah  post and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah mwah mwah mwah mwah   yeah i'm so bad best that you've had i guess you're diggin' the show open the door you want some more when you wanna leave let me know  pre tell me i'm too crazy you can't tame me can't tame me tell me i have changed but i'm the same me old same me inside hey   if you don't like the way i talk then why am i on your mind if you don't like the way i rock then finish your glass of wine we fight and we argue you'll still love me blind if we don't fuck this whole thing up guaranteed i can blow your mind mwah  post and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah  breakdown and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah hey and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind hey  pre tell me i'm too crazy you can't tame me can't tame me tell me i have changed but i'm the same me old same me inside hey mwah   if you don't like the way i talk then why am i on your mind if you don't like the way i rock then finish your glass of wine we fight and we argue you'll still love me blind if we don't fuck this whole thing up guaranteed i can blow your mind mwah  post and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah and tonight i'm alive ain't no dollar sign guaranteed i can blow your mind mwah
4,Dua Lipa,Be the One,Dua Lipa,2015,2015-10-30,i see the moon i see the moon i see the moon oh when you're looking at the sun i'm not a fool i'm not a fool not a fool no you're not fooling anyone  pre oh but when you're gone when you're gone when you're gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one i could be the one   i see in blue i see in blue i see in blue oh when you see everything in red there is nothing that i wouldn't do for you do for you do for you oh 'cause you got inside my head  pre oh but when you're gone when you're gone when you're gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one   be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one will you be mine   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one
5,Dua Lipa,Break My Heart,Future Nostalgia,2020,2020-03-25,i've always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like now i'm falling you say my name like i have never heard before i'm indecisive but this time i know for sure i hope i'm not the only one that feels it all are you falling  pre centre of attention you know you can get whatever you want from me whenever you want it baby it's you in my reflection i'm afraid of all the things it could do to me if i would've known it baby   i would've stayed at home 'cause i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home 'cause now there ain't no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home 'cause now there ain't no letting you go am i falling in love with the one that could break my heart   i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me  pre centre of attention you know you can get whatever you want from me whenever you want it baby it's you in my reflection i'm afraid of all the things it could do to me if i would've known it baby   i would've stayed at home 'cause i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home i would've stayed at home 'cause i 'cause now there ain't no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home 'cause now there ain't no letting you go am i falling in love with the one that could break my heart   ooh break my heart ooh break my heart ooh am i falling in love with the one that could break my heart   i would've stayed at home 'cause i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home i would've stayed at home 'cause i 'cause now there ain't no letting you go am i falling in love with the one that could break my heart oh no oh no i was doing better alone but when you said hello i knew that was the end of it all i should've stayed at home 'cause now there ain't no letting you go am i falling in love with the one that could break my heart
6,Dua Lipa,Homesick,Dua Lipa,2017,2017-06-02,dua lipa here where the sky's falling i'm covered in blue i'm running and i'm crawling fighting for you when the rain stops then darling what will i do and i know i go all in but why do i   dua lipa you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go but i wish i was there with you oh i wish i was there with you   dua lipa  chris martin there's a crack in my window a bird in my room angels all over that watch over you when i'm walking on water all my dreams have come true still nothing means nothing without you you   dua lipa  chris martin you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go tell my heart to lie but i know deep inside it's true that i wish i was there with you that i wish i was there with you oh i wish i was there with you   break   dua lipa  chris martin you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go tell my heart to lie but i know deep inside it's true that i wish i was there with you that i wish i was there with you oh i wish i was there with you
7,Dua Lipa,Levitating,Future Nostalgia,2020,2020-03-27,if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell into a rhythm where the music don't stop for life glitter in the sky glitter in my eyes shining just the way i like if you're feeling like you need a little bit of company you met me at the perfect time  pre you want me i want you baby my sugarboo i'm levitating the milky way we're renegading yeah yeah yeah yeah yeah   i got you moonlight you're my starlight i need you all night come on dance with me i'm levitating you moonlight you're my starlight you're the moonlight i need you all night come on dance with me i'm levitating   i believe that you're for me i feel it in our energy i see us written in the stars we can go wherever so let's do it now or never baby nothing's ever ever too far glitter in the sky glitter in our eyes shining just the way we are i feel like we're forever every time we get together but whatever let's get lost on mars  pre you want me i want you baby my sugarboo i'm levitating the milky way we're renegading yeah yeah yeah yeah yeah   i got you moonlight you're my starlight i need you all night come on dance with me i'm levitating you moonlight you're my starlight you're the moonlight i need you all night come on dance with me i'm levitating  post you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah i'm levitating woo you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah woo   my love is like a rocket watch it blast off and i'm feeling so electric dance my ass off and even if i wanted to i can't stop yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and i'm feeling so electric dance my ass off and even if i wanted to i can't stop yeah yeah yeah yeah yeah  pre you want me i want you baby my sugarboo i'm levitating the milky way we're renegading   i got you yeah moonlight you're my starlight i need you all night all night come on dance with me i'm levitating woo  post you can fly away with me tonight tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah take you for a ride i'm levitating woo you can fly away with me tonight tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah let me take you for a ride   i got you moonlight you're my starlight you are my starlight i need you all night come on dance with me come on dance with me i'm levitating you moonlight you're my starlight you're the moonlight i need you all night come on dance with me i'm levitating
8,Dua Lipa,Physical,Future Nostalgia,2020,2020-01-30,common love isn't for us we created something phenomenal don't you agree don't you agree you got me feeling diamond rich nothing on this planet compares to it don't you agree don't you agree  pre who needs to go to sleep when i got you next to me   all night i'll riot with you i know you got my back and you know i got you so come on come on come on come on come on come on let's get physical lights out follow the noise baby keep on dancing like you ain't got a choice so come on come on come on come on come on let's get physical   adrenaline keeps on rushing in love the simulation we're dreaming in don't you agree don't you agree i don't wanna live another life 'cause this one's pretty nice living it up  pre who needs to go to sleep when i got you next to me   all night i'll riot with you i know you got my back and you know i got you so come on come on come on come on come on come on let's get physical lights out follow the noise baby keep on dancing like you ain't got a choice so come on come on come on come on come on let's get physical   hold on just a little tighter come on hold on tell me if you're ready come on come on come on baby keep on dancing let's get physical hold on just a little tighter come on hold on tell me if you're ready come on come on come on baby keep on dancing let's get physical   all night i'll riot with you i know you got my back and you know i got you so come on come on come on let's get physical lights out follow the noise baby keep on dancing like you ain't got a choice so come on come on come on come on come on let's get physical physical physical   let's get physical physical physical physical physical physical let's get physical physical physical come on phyphyphyphysical
9,Dua Lipa,Hotter Than Hell,Dua Lipa,2016,2016-05-06,ah yeah ah yeah   he calls me the devil i make him wanna sin every time i knock he can't help but let me in must be homesick for the real i'm the realest it gets you probably still adore me with my hands around your neck  pre can you feel the warmth yeah as my kiss goes down you like some sweet alcohol where i'm coming from yeah it's the darker side of me that makes you feel so numb   'cause im hot like hell does it burn when i'm not there and you're by yourself am i the answer to your prayers i'm giving you that pleasure heaven and i'll give it to you hotter than hell hotter than hell   you're my manna from heaven we all gotta get fed cant let me know i'm wanted cant let me in your head i'm not here to make you kneel but it's praise that i get you ain't gonna walk free boy not finished with you yet no  pre can you feel the warmth yeah as my kiss goes down you like some sweet alcohol where im coming from yeah it's the darker side of me that makes you feel so numb   'cause i'm hot like hell does it burn when i'm not there and you're by yourself am i the answer to your prayers i'm giving you that pleasure heaven and i'll give it to you hotter than hell hotter than hell   oh you're down right there you make me feel right there when you lay me down right there we just make it right there 'cause you're looking so right there baby you should touch me right there if you take me right there we could make it   'cause i'm hot like hell does it burn when i'm not there and you're by yourself am i the answer to your prayers i'm giving you that pleasure heaven and i'll give it to you hotter than hell hotter than hell hotter than hell hotter than hell and i'll give it to you hotter than hell
