,Artist,Title,Album,Year,Date,Lyric
0,Justin Bieber,Love Yourself,Purpose (Deluxe),2015,2015-11-13,produced by benny blanco   for all the times that you rained on my parade and all the clubs you get in using my name you think you broke my heart oh girl for goodness sake you think i'm cryin' on my own well i ain't  refrain and i didn't wanna write a song 'cause i didn't want anyone thinking i still care i don't but you still hit my phone up and baby i'll be movin' on and i think you should be somethin' i don't wanna hold back maybe you should know that  pre my mama don't like you and she likes everyone and i never like to admit that i was wrong and i've been so caught up in my job didn't see what's going on but now i know i'm better sleeping on my own   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself   but when you told me that you hated my friends the only problem was with you and not them and every time you told me my opinion was wrong and tried to make me forget where i came from  refrain and i didn't wanna write a song 'cause i didn't want anyone thinking i still care i don't but you still hit my phone up and baby i'll be movin' on and i think you should be somethin' i don't wanna hold back maybe you should know that  pre my mama don't like you and she likes everyone and i never like to admit that i was wrong and i've been so caught up in my job didn't see what's going on but now i know i'm better sleeping on my own   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself   for all the times that you made me feel small i fell in love now i feel nothin' at all i never felt so low and i was vulnerable was i a fool to let you break down my walls   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself 'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself
1,Justin Bieber,Sorry,Purpose (Deluxe),2015,2015-10-23,written by julia michaels justin tranter and justin bieber   you gotta go and get angry at all of my honesty you know i try but i don't do too well with apologies i hope i don't run out of time could someone call a referee 'cause i just need one more shot at forgiveness i know you know that i made those mistakes maybe once or twice by once or twice i mean maybe a couple a hundred times so let me oh let me redeem oh redeem oh myself tonight 'cause i just need one more shot at second chances  pre yeah is it too late now to say sorry 'cause i'm missing more than just your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm sorry yeah sorry yeah sorry yeah i know that i let you down is it too late to say i'm sorry now   i'll take every single piece of the blame if you want me to but you know that there is no innocent one in this game for two i'll go i'll go and then you go you go out and spill the truth can we both say the words and forget this  pre yeah is it too late now to say sorry 'cause i'm missing more than just your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm not just trying to get you back on me oh no no 'cause i'm missing more than just your body your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say i'm sorry now i'm sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say i'm sorry now
2,Justin Bieber,Yummy,Changes,2020,2020-01-03,yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   bona fide stallion ain't in no stable no you stay on the run ain't on the side you're number one yeah every time i come around you get it done  pre fiftyfifty love the way you split it hundred racks help me spend it babe light a match get litty babe that jet set watch the sunset kinda yeah yeah rollin' eyes back in my head make my toes curl yeah yeah   yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   standin' up keep me on the rise lost control of myself i'm compromised you're incriminating no disguise and you ain't never runnin' low on supplies  pre fiftyfifty love the way you split it hundred racks help me spend it babe light a match get litty babe that jet set watch the sunset kinda yeah yeah rollin' eyes back in my head make my toes curl yeah yeah   yeah you got that yummyyum that yummyyum that yummyyummy you stay flexin' on me yeah you got that yummyyum yeah yeah that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   hop in the lambo' i'm on my way drew house slippers on with a smile on my face i'm elated that you are my lady you got the yum yum yum yum you got the yum yumyum woah woahooh   yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way
3,Justin Bieber,As Long as You Love Me,Believe,2012,2012-06-11,justin bieber as long as you love me love me love me love me love me love me love me as long as you love me love me love me love me love me as long as you love me   justin bieber we're under pressure we're under pressure seven billion people in the world tryna fit in tryna fit in keep it together keep it together smile on your face even though your heart is frowning frowning but hey now hey now you know girl you know girl we both know it's a cruel world cruel world but i will but i will take my chances   justin bieber as long as you love me we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum i'll be your silver i'll be your gold as long as you love me love me as long as you love me love me   justin bieber i'll be your soldier i'll be your soldier fighting every second of the day for your dreams girl for your dreams girl i'll be your hova i'll be your hova you could be my destiny's child on the scene girl so don't stress don't stress and don't cry and don't cry oh we don't need no wings to fly wings to fly just take take my hand   justin bieber as long as you love me we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum i'll be your silver i'll be your gold as long as you love me love me as long as you love me love me   big sean whoa whoa big i don't know if this makes sense but you're my hallelujah give me a time and place i'll rendezvous it i'll fly you to it i'll beat you there girl you know i got you us trust a couple things i can't spell without 'u' now we on top of the world world 'cause that's just how we do used to tell me sky's the limit now the sky's our point of view man we stepping out like whoa oh god cameras point and shoot shoot ask me what's my best side i stand back and point at you you you the one that i argue with feel like i need a new girl to be bothered with but the grass ain't always greener on the other side it's green where you water it so i know we got issues baby true true true but i'd rather work on this with you than to go ahead and start with someone new as long as you love me   justin bieber as long as you love me yeah yeah baby we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum platinum i'll be your silver i'll be your gold   justin bieber as long as you love me as long as you love me as long as you love me i'll be your silver i'll be your gold as long as you love me you love me you love me yeah it's all i want baby as long as you love me you love me please don't go as long as you love me as long as you love me as long as you love me yeah as long as you love me love me love me love me love me
4,Justin Bieber,Baby,My World 2.0,2010,2010-01-18,produced by thedream and tricky stewart   justin bieber oh woah oh woah oh woah   justin bieber you know you love me i know you care just shout whenever and ill be there you want my love you want my heart and we will never ever ever be apart are we an item girl quit playing were just friends what are you saying said there's another and looked right in my eyes my first love broke my heart for the first time and i was like   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought you'd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   justin bieber oh for you i would have done whatever and i just cant believe we ain't together and i wanna play it cool but i'm losing you i'll buy you anything i'll buy you any ring and i'm in pieces baby fix me and just shake me 'til you wake me from this bad dream i'm going down down down down and i just cant believe my first love wont be around and i'm like   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   ludacris luda when i was  i had my first love there was nobody that compared to my baby and nobody came between us nor could ever come above she had me going crazy oh i was starstruck she woke me up daily dont need no starbucks she made my heart pound and skip a beat when i see her in the street and at school on the playground but i really want to see her on the weekend she knows she's got me dazing cause she was so amazing and now my heart is breaking but i just keep on saying   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   justin bieber i'm gone yeah yeah yeah now i'm all gone yeah yeah yeah now i'm all gone yeah yeah yeah now i'm all gone gone gone gone i'm gone
5,Justin Bieber,What Do You Mean?,Purpose (Deluxe),2015,2015-08-28,what do you mean oh oh when you nod your head yes but you wanna say no what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean oh what do you mean said you're runnin' outta time what do you mean oh oh oh what do you mean better make up your mind what do you mean   youre so indecisive of what i'm sayin' tryna catch the beat make up your heart don't know if you're happy or complainin' don't want for us to end where do i start  pre first you wanna go to the left then you wanna turn right right wanna argue all day makin' love all night all night first you're up then youre down and then between 'tween oh i really wanna know   what do you mean oh oh when you nod your head yes but you wanna say no what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean oh what do you mean said you're runnin' outta time what do you mean oh oh oh what do you mean better make up your mind what do you mean   youre overprotective when i'm leavin' tryna compromise but i cant win you wanna make a point but you keep preachin' you had me from the start won't let this end  pre first you wanna go to the left then you wanna turn right turn right wanna argue all day makin' love all night all night first you're up then youre down and then between 'tween oh i really wanna know   what do you mean oh oh yeah yeah yeah yeah when you nod your head yes but you wanna say no what do you mean oh what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean i wanna know ooh oh what do you mean ooh said you're runnin' outta time what do you mean oh baby oh oh oh what do you mean better make up your mind what do you mean don't be so selfish baby yeah yeah oh oh when you nod your head yes but you wanna say no what do you mean you're so confusin' baby hey yeah when you don't want me to move hey but you tell me to go what do you mean be more straightforward oh what do you mean hey ah ah ah said you're runnin' outta time what do you mean hey ah ah ah oh oh oh what do you mean better make up your mind what do you mean
6,Justin Bieber,Holy,Home for Christmas,2020,2020-09-18,justin bieber i hear a lot about sinners don't think that i'll be a saint but i might go down to the river 'cause the way that the sky opens up when we touch yeah it's makin' me say   justin bieber that the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me hold me feels so holy   justin bieber i don't do well with the drama and no i can't stand it being fake no no no no no no no no i don't believe in nirvana but the way that we love in the night gave me life baby i can't explain   justin bieber that the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me hold me feels so holy   justin bieber  chance the rapper they say we're too young and the pimps and the players say don't go crushin' wise men say fools rush in but i don't know ahahahah they say we're too young and the pimps and the players say don't go crushin' wise men say fools rush in but i don't know chance the rapper   chance the rapper the first step pleases the father might be the hardest to take but when you come out of the water i'm a believer my heart is fleshy life is short with a temper like joe pesci they always come and sing your praises your name is catchy but they don't see you how i see you parlay and desi cross tween tween hesi' hit the jet speed when they get messy go lefty like lionel messi let's take a trip and get the vespas or rent a jet ski i know the spots that got the best weed we goin' next week i wanna honor wanna honor you bride's groom i'm my father's child i know when the son takes the first steps the father's proud yes if you make it to the water he'll part the clouds uh i know he made you a snack like oscar proud mwah suffer it to be so now gotta clean it up ooh formalize the union in communion he can trust woo i know i ain't leavin' you like i know he ain't leavin' us ah i know we believe in god and i know god believes in us   justin bieber 'cause the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second on god runnin' to the altar like a track star can't wait another second on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me feels so hohohoholy
7,Justin Bieber,Intentions,Changes,2020,2020-02-07,justin bieber picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread heart full of equity you're an asset make sure that you don't need no mentions yeah these are my only intentions   justin bieber shoutout to your mom and dad for makin' you standin' ovation they did a great job raisin' you when i create you're my muse that kind of smile that makes the news can't nobody throw shade on your name in these streets triple threat you a boss you a bae you a beast you make it easy to choose you got a mean touch i can't refuse no i can't refuse it   justin bieber picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread heart full of equity you're an asset make sure that you don't need no mentions yeah these are my only intentions   justin bieber already pass you don't need no approval good everywhere don't worry 'bout no refusal second to none you got the upper hand now don't need a sponsor nope you're the brand now you're my rock my colorado get that ring just like toronto love you now a little more tomorrow this how i feel act like you know that you are   justin bieber  quavo picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread whip it heart full of equity you're an asset asset make sure that you don't need no mentions yeah yeah yeah these are my only intentions quavo   quavo no cap no pretendin' you don't need mentions no cap got 'em sayin' goals they don't wanna be independent 'pendent tell them to mind your business woo we in our feelings it's fiftyfifty percentage fifty attention we need commitment oh we gotta both admit it both it's funny we both listen both it's a blessing blessing 'cause we both get it both you the best thing woo and i don't need a witness best thing i'ma find me a ring and pray it's perfect fitted perfect perfect   justin bieber picture perfect you don't need no filter no filter gorgeous make 'em drop dead you a killer ohoh shower you with all my attention i will yeah these are my only intentions yeah stay in the kitchen cookin' up got your own bread you do heart full of equity you're an asset uhhuh make sure that you don't need no mentions no mentions yeah these are my only intentions   justin bieber only intentions that's all i plan to do
8,Justin Bieber,Confident,Journals,2013,2013-12-09,produced by soundz   justin bieber don't do it to me don't do it to me oh no no oh no no don't do it to me oh no no oh no no don't do it to me oh no no oh no no don't do it to me oh no no oh no no   justin bieber focused i'm focused she got a body like that i ain't never seen nothin' like that uhuh like a fantasy in front of me yeah i think that something special is going down that's right i think she foreign foreign i think she foreign foreign got passports mi amor 'mor started slow slow got faster she gon' work some more more work some more more no stopping her now now now no stopping her now now now now now  pre justin bieber then she started dancing sexual romancing nasty but she fancy lipstick on my satin sheets what's your nationality i wonder if there's more of you she's got my attention she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why i'm addicted oh yeah yeah something like an addict got me twisted oh yeah yeah but still i gotta have it   justin bieber explosive explosive i could still smell her perfume it's not hard to notice that i'm open hypnotized by the way she moves  pre justin bieber then she started dancing sexual romancing nasty but she fancy mona lisa masterpiece what's your nationality i wonder if there's more of you she's got my attention she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber  chance the rapper she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why igh i'm addicted oh yeah yeah something like an addict oohwoo got me twisted oh yeah yeah but still i gotta have it chance the rapper igh   chance the rapper  justin bieber tattoos piercings and she just learned to twerk oh she ain't got a heart or an ass just her brains gotta ask 'cause her ass on a learning curve oh and she love to hurn the berb i mean burn the word that's only legal with a doctor's note oh real deep pockets like a doctor's coat igh igh stay faded like diddy hair back tryna rock the boat she the first mate when i rock the boat igh she never forget to ride like a bicycle she like planes trains chains with icicles it goes her blank blank and rock and roll igh she say i know honey bunny that's the funny thing ooh thots twerk for the goodfellas she money dance with the money team igh she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why i'm addicted oh yeah yeah something like an addict got me twisted oh yeah yeah but still i gotta have it   justin bieber  chance the rapper still i gotta have it yeah still i gotta have it alright still i gotta have it yeah alright oh no no oh no no oh no no yeah oh no no oh no no oh no no alright oh no no oh no no oh no no yeah oh no no oh no no but still i gotta have it
9,Justin Bieber,Beauty and a Beat,Believe,2012,2012-10-24,nicki minaj yeah young money nicki minaj justin rrr   justin bieber show you off tonight i wanna show you off ayyayyayy what you got a billion could've never bought ayyayyayy  pre justin bieber we gonna party like it's 0 tonight i wanna show you all the finer things in life so just forget about the world we young tonight i'm coming for ya i'm coming for ya   justin bieber 'cause all i need is a beauty and a beat who can make my life complete it's all 'bout you when the music makes you move baby do it like you do   justin bieber body rock girl i can feel your body rock ayyayyayy take a bow you're on the hottest ticket now ooh ayyayyayy  pre justin bieber we gonna party like it's 0 tonight i want to show you all the finer things in life so just forget about the world we young tonight i'm coming for ya i'm coming for ya   justin bieber 'cause all i need is a beauty and a beat who can make my life complete it's all 'bout you when the music makes you move baby do it like you do   nicki minaj uh uh in time ink lines bitches couldn't get on my incline world tours it's mine ten little letters on a big sign justin bieber you know i'ma hit 'em with the ether buns out weiner but i gotta keep an eye out for selener beauty beauty and the beast beauty from the east beautiful confessions of the priest beast beauty from the streets beat will get deceased every time beauty on the beat eats  break justin bieber  nicki minaj body rock yeah yeah yeah girl i wanna feel your body rock let's go let's go   justin bieber 'cause all all i need is love i need is a beauty and a beat who can make my life complete whoaohoh it's all 'bout you all i need is you when the music makes you move baby do it like you do
