,Artist,Title,Album,Year,Date,Lyric
0,Khalid,Young Dumb & Broke,American Teen,2017,2017-03-03,so you're still thinking of me just like i know you should i can not give you everything you know i wish i could i'm so high at the moment i'm so caught up in this yeah we're just young dumb and broke but we still got love to give   while we're young dumb young young dumb and broke young dumb young young dumb and broke young dumb young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids   we have so much in common we argue all the time you always say i'm wrong i'm pretty sure i'm right what's fun about commitment when we have our life to live yeah we're just young dumb and broke but we still got love to give   while we're young dumb young young dumb and broke young dumb young young dumb and broke young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids   jump and we think  do it all in the name of love love run into sin do it all in the name of fun fun whoaoaoa i'm so high at the moment i'm so caught up in this yeah we're just young dumb and broke but we still got love to give   while we're young dumb young young dumb and broke young dumb young young dumb and broke young dumb young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids
1,Khalid,Location,American Teen,2016,2016-04-30,send me your location let's focus on communicating 'cause i just need the time and place to come through place to come through send me your location let's ride the vibrations i don't need nothing else but you do not need nothing else but you   at times i wonder why i fool with you but this is new to me this is new to you initially i didn't wanna fall for you gather my attention it was all for you so don't take advantage don't leave my heart damaged i understand that things go a little bit better when you plan it oh so won't   send me your location let's focus on communicating 'cause i just need the time and place to come through send me your location let's ride the vibrations i don't need nothing else but you i don't need nothing else but you   i don't wanna fall in love off of subtweets so let's get personal i got a lot of cool spots that we can go tell me what's the move and i got you i'm only acting like this 'cause i like you just give me the vibe to slide in oh i might make you mine by the night and   send me your location let's focus on communicating 'cause i just need the time and place to come through place to come through send me your location let's ride the vibrations i don't need nothing else but you i don't need nothing else but you   ride ride ride come and vibe with me tonight i don't need nothing else but you i don't need nothing else but you ride ride ride come and vibe with me tonight i don't need nothing else but you nothing else but you do do do do do do oh oh mmm mmm mmm mmm oh oh oh oh oh oh mmm mmm mmm do do do do do do do do do do do do do do do i don't need nothing else but you
2,Khalid,Better,Suncity,2018,2018-09-14,better nothing baby nothing feels better i'm not really drunk i never get that fucked up i'm not i'm so sober   love to see you shine in the night like the diamond you are love to see you shine in the night like the diamond you are i'm good on the side it's alright just hold me in the dark i'm good on the side it's alright just hold me in the dark no one's gotta know what we do hit me up when you're bored no one's gotta know what we do hit me up when you're bored 'cause i live down the street so we meet when you need and it's yours all i hear is   nothing feels better than this nothing feels better nothing feels better than this nothing feels better oh no we don't gotta hide this is what you like i'll admit nothing feels better than this   you say we're just friends but i swear when nobody's around you say we're just friends but i swear when nobody's around you keep my hand around your neck we connect are you feeling it now you keep my hand around your neck we connect are you feeling it now 'cause i am i got so high the other night i swear to god felt my feet lift the ground i got so high the other night i swear to god i felt my feet lift the ground ooh yeah your back against the wall this is all you've been talking about in my ears   nothing feels better than this nothing feels better nothing feels better than this nothing feels better oh no we don't gotta hide this is what you like i admit nothing feels better than this   now left right left right take it back bring it side to side like that like that ayy ooh now left right left right take it back bring it side to side like   nothing feels better than this nothing feels better nothing feels better than this nothing feels better oh no we don't gotta hide this is what you like i admit nothing feels better than this better than this   nothing feels better than this
3,Khalid,Talk,Free Spirit,2019,2019-02-07,can we just talk can we just talk talk about where we're goin' before we get lost lend me your thoughts can't get what we want without knowin' i've never felt like this before i apologize if i'm movin' too far can we just talk can we just talk figure out where we're goin'   yeah started off right i can see it in your eyes i can tell that you're wantin' more what's been on your mind there's no reason we should hide tell me somethin' i ain't heard before  pre oh i've been dreamin' 'bout it and it's you i'm on so stop thinkin' 'bout it   can we just talk can we just talk talk about where we're goin' before we get lost lend me your thoughts yeah can't get what we want without knowin' no i've never felt like this before i apologize if i'm movin' too far can we just talk can we just talk figure out where we're goin'   oh nah penthouse view left some flowers in the room i'll make sure i leave the door unlocked now i'm on the way swear i won't be late i'll be there by five o'clock  pre oh you've been dreamin' 'bout it and i'm what you want so stop thinkin' 'bout it   can we just talk oh can we just talk talk about where we're goin' before we get lost lend me your thoughts can't get what we want without knowin' i've never felt like this before i apologize if i'm movin' too far can we just talk can we just talk figure out where we're goin'   figure out where we're goin'
4,Khalid,Saved,American Teen,2017,2017-01-13,4   the hard part always seems to last forever sometimes i forget that we aren't together deep down in my heart i hope you're doing alright but from time to time i often think of why you aren't mine   but i'll keep your number saved 'cause i hope one day you'll get the sense to call me i'm hoping that you'll say you're missing me the way i'm missing you so i'll keep your number saved 'cause i hope one day i'll get the pride to call you to tell you that no one else is gonna hold you down the way that i do   now i can't say i'll be alright without you and i can't say that i haven't tried to but all your stuff is gone i erased all the pictures from my phone of me and you here's what i'll do   i'll keep your number saved 'cause i hope one day you'll get the sense to call me i'm hoping that you'll say you're missing me the way i'm missing you so i'll keep your number saved 'cause i hope one day i'll get the pride to call you to tell you that no one else is gonna hold you down the way that i do   i hope you think of all the times we shared i hope you'll finally realize i was the only one who cared it's crazy how this love thing seems unfair you won't find a love like mine anywhere   but i'll keep your number saved 'cause i hope one day you'll get the sense to call me i'm hoping that you'll say you're missing me the way i'm missing you so i'll keep your number saved 'cause i hope one day i'll get the pride to call you to tell you that no one else is gonna hold you down the way that i do but i'll keep your number saved 'cause i hope one day you'll get the sense to call me i'm hoping that you'll say you're missing me the way i'm missing you so i'll keep your number saved 'cause i hope one day i'll get the pride to call you to tell you that i'm finally over you i'm finally over you
5,Khalid,Coaster,American Teen,2016,2016-12-16,as time passes i feel so low searchin' for pieces covering up the hole i'll fight for your love i'll fight for your soul i'll throw all of my cares away for you i'll be there to wait for you maybe you weren't the one for me but deep down i wanted you to be i'll still see you in my dreams all the things that i did for you just wasn't it for you   so i'll be coasting rollercoasting through my emotion i will be coasting rollercoasting i'm hoping that you'll come back to me   moving on seems harder to do when the one that you love moves faster than you i gave you my all i showed the proof of your lies and you weren't worth it you don't deserve me as time passes i'm feeling high you're not the one i'm thinking of tonight i may not be over you but i'll try inside i'm feeling better now finally feeling special now oh   coasting rollercoasting in my emotions oh i'll be coasting rollercoasting i noticed you weren't the one for me   you weren't the one for me you weren't the one for me you weren't the one for me you weren't the one for me weren't the one for me you weren't the one you weren't the one for me so don't come back to me no no don't come back to me no no don't come back to me no don't come back to me no no don't come back to me you weren't the one for me you weren't the one for me you weren't the one for me you weren't the one for me
6,Khalid,OTW,,2018,2018-04-20,khalid na na na na ooh oh no oh ayy   khalid put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be aall day i'll be aall day put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day   khalid yeah yeah yeah this the type of shit that you been waiting all year for back in town for a minute if you with it yeah got a lot of time i just need somewhere to spend it i just press a button and the top go missing i kept the slip so you know it's not rented yeah oh oh what you wanna do worried 'bout your friends they saw you this afternoon i been reading your mind no fair but you gotta let me know i'm all ears and i got a lot of room in my whip if you wanna take it there i'm on my way   khalid put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day   ty dolla ign dolla ign dolla ign drop top the porsche put that bitch in sport out here in the field oh yeah yeah i'm already here yeah come outside looking like a snack hurry up get in hell yeah yeah come with me on this mission ooh yeah ooh yeah riding down the coast ooh yeah i want that for sure ooh yeah you say play khalid ooh yeah i say pass the weed ooh yeah pull up to the crib oh said you've never been before put you in provocateur girl i made you mi amor you said you left your ex that dude was always gassin' you said before me you ain't never been this happy you took an l with him and winning ever since ever since you hit my phone i'm on my way i cancel plans yeah yeah   khalid put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day   6lack you tryna make a move tonight i got the time tell me what you wanna do call the squad if you wanna rendezvous they gon' push up on they own i only got room for two from the 'jects on the set it's a porsche not a 'vette i confess i'ma flex till they show some respect get away so we can make sense of your life you was in park but i just put your shit in drive now coast like there's no tomorrow moving too fast i'm open to drive slow yeah i don't want you to wonder where i go can learn a lot from this and that's something that i know   khalid put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day put it in drive i'll be outside i'll be on the way i'll be on the way you can meet me in five i'll be all night i'll be all day i'll be all day
7,Khalid,Saturday Nights,Suncity,2018,2018-10-19,saturday nights blueberry cigarillos swishers make my throat hurt rolling ocb's on the side for me light 'em up and let 'em both burn family feuds say your mom's confused off of shit she doesn't wanna learn but daddy's gone say he's never home and wishing only makes it worse  pre i guess there's certain dreams that you gotta keep 'cause they'll only know what you let 'em see   all the things that i know that your parents don't they don't care like i do nowhere like i do and all the things that i know that your parents don't they don't care like i do nowhere like i do nowhere like i do nowhere like i do   saturday nights light gray silverado you drive it 'cause you have to stay up working late at a job you hate fix your makeup in a dirty bathroom no more love in and out of clubs knowing what you gotta do you've got plans wrapped in rubber bands and that's the only thing you'll never lose  pre i guess there's certain dreams that you gotta keep 'cause they'll only know what you let 'em see   all the things that i know that your parents don't they don't care like i do nowhere like i do and all the things that i know that your parents don't they don't care like i do nowhere like i do nowhere like i do   'cause i care i care about you there's nowhere i'd rather be than right here around you i care care about you there's nowhere i'd rather be   all the things that i know that your parents don't they don't care about you nowhere like i do all the things that i know that your parents don't don't care about you nowhere like i nowhere like i do do do do nowhere like i do do do do nowhere like i do do do do nowhere like i do do do do
8,Khalid,8TEEN,American Teen,2017,2017-03-03,yeah ha yeah ha   woke up a little too late this morning but i think i'll be okay i'll be okay damn my car still smells like marijuana my mom is gonna kill me gonna kill me traffic's backed up from corner to corner so i guess i'll hit the highway the highway shake away all the stress off my shoulders gonna have a good day a good day   because i'm eighteen and i still live with my parents yeah they're not like yours well yours are more understanding i've never fell in love i saved those feelings for you so let's do all the stupid shit that young kids do its me and you ooh ooh ooh ooh you ooh ooh ooh ooh just me and you ooh ooh ooh ooh let's do all the stupid shit that young kids do   no i've never really been the smartest yeah i've made my mistakes my mistakes you were there when times were at their darkest always showing me the way lead the way your love seems to cut me deep the sharpest you'll always have a part of me a part of me losing you has always been the hardest i wish it were the old days oh i wish it were the old days   'cause i was eighteen and i still lived with my parents yeah they're not like yours well yours were more understanding i never fell in love i saved those feelings for you when we did all the stupid shit that young kids do just me and you ooh ooh ooh ooh you ooh ooh ooh ooh just me and you ooh ooh ooh ooh let's do all the stupid shit that young kids do   it's me and you you you ooh ooh ooh you just me and you you you ooh ooh ooh heyhey   because i'm eighteen and i still live with my parents yeah they're not like yours well yours are more understanding i've never fell in love i saved those feelings for you so let's do all the stupid shit that young kids do its me and you ooh ooh ooh ooh it's me and you ooh ooh ooh ooh just me and you ooh ooh ooh ooh let's do all the stupid shit that young kids do   it's me and you ooh ooh noooo just me and you ooh ooh
9,Khalid,Suncity,Suncity,2018,2018-10-19,khalid  empress of llévame a ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo  en la ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo   khalid two days 'til i'm back on the road and i'm wanting you i hear you calling me so come onto me tonight no time to be worried about what we wanna do just take care of me i'll let you take the lead tonight  pre khalid  empress of feel it coming over me sólo así junto a ti don't let the city break your heart conmigo no tienes que llorar   khalid  empress of llévame a ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo  en la ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo   khalid no room to be falling for you without honesty don't be scared of me it's where you wanna be tonight it's alright alright for the meantime if i have to wait i'll be patient babe tonight  pre khalid  empress of sólo así junto a ti don't let the city break your heart your heart conmigo no tienes que llorar   khalid  empress of llévame a ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo  en la ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo   khalid wind it up slow for me pick it up pick it up wind it up slow for me pick it up pick it up wind it up slow for me pick it up pick it up wind it up slow for me pick it up pick it up   khalid  empress of llévame a ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo  en la ciudad del sol llévame llévame donde dejé mi corazón llévame llévame llévamelo   ii send you a lot of a lot of hugs and i hope to see you very soon
