,Artist,Title,Album,Year,Date,Lyric
0,Lady Gaga,Do What U Want,ARTPOP,2013,2013-10-21,lady gaga  r kelly yeah oh turn the mic up yeah yeah eh eh eh eh eh eh eh oh eh eh eh eh eh eh eh oh   lady gaga i i feel good i walk alone but then i trip upon myself and i fall i i stand up and then i'm okay but then you print some shit that makes me wanna scream  pre lady gaga so do what you want what you want with my body do what you want don't stop let's party do what you want what you want with my body do what you want what you want with my body write what you want say what you want 'bout me if you're wondering know that i'm not sorry do what you want what you want with my body what you want with my body   lady gaga you can't have my heart and you won't use my mind but do what you want with my body do what you want with my body you cant stop my voice 'cause you don't own my life but do what you want with my body do what you want with my body   r kelly early morning longer nights yeah tom ford private flights yeah crazy schedule fast life i wouldn't trade it in 'cause it's our life but let's slow it down i could be the drink in your cup i could be the green in your blunt your pusher man yeah i got what you want you wanna escape oh all of the crazy shit let go you're the marilyn i'm the president and i love to hear you sing girl  pre  r kelly do what i want do what i want with your body do what i want do what i want with your body back of the club taking shots gettin' naughty no invitations it's a private party do what i want do what i want with your body do what i want do what i want with your body yeah we taking these haters and we roughin' 'em up and we layin the cut like we don't give a fuck   lady gaga  r kelly you can't have my heart and you won't use my mind my mind but do what you want with my body yeah do what you want with my body with your body you cant stop my voice 'cause you don't own my life but do what you want with my body do what you want with my body body   lady gaga sometimes i'm scared i suppose if you ever let me go i would fall apart if you break my heart so just take my body and don't stop the party   lady gaga  r kelly both you can't have my heart and help me now you won't use my mind but do what you want with my body do what you want with my body with your body you cant stop my voice 'cause you don't own my life you but do what you want with my body what i want when i want when i want do what you want with my body   lady gaga do what you want with me what you want with my body do what you want with me what you want with my body world do what you want with me what you want with my body do what you want with me what you want with my body world help me now what you want with my body do what you want with my body do what you want with my body want you want with my body world
1,Lady Gaga,Always Remember Us This Way,A Star is Born (Original Motion Picture Soundtrack),2018,2018-10-05,that arizona sky burnin' in your eyes you look at me and babe i wanna catch on fire its buried in my soul like california gold you found the light in me that i couldnt find   so when i'm all choked up and i can't find the words every time we say goodbye baby it hurts when the sun goes down and the band won't play i'll always remember us this way   lovers in the night poets tryna write we don't know how to rhyme but damn we try but all i really know you're where i wanna go the part of me that's you will never die   so when i'm all choked up and i can't find the words every time we say goodbye baby it hurts when the sun goes down and the band won't play i'll always remember us this way   oh yeah i don't wanna be just a memory baby yeah hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hoo hooooooooo   so when i'm all choked up and i can't find the words every time we say goodbye baby it hurts when the sun goes down and the band won't play i'll always remember us this way way yeah   when you look at me and the whole world fades i'll always remember us this way   oooh oooh hmmmm oooh oooh hmmmm
2,Lady Gaga,Bad Romance,The Fame Monster,2009,2009-10-23,ohohohohoh ohohohoh ohohoh caught in a bad romance ohohohohoh ohohohoh ohohoh caught in a bad romance raraahahah roma romama gaga ooh lala want your bad romance raraahahah roma romama gaga ooh lala want your bad romance   i want your ugly i want your disease i want your everything as long as its free i want your love love love love i want your love oh ey i want your drama the touch of your hand hey i want your leatherstudded kiss in the sand i want your love love love love i want your love love love love i want your love  pre you know that i want you and you know that i need you i want it bad your bad romance   i want your love and i want your revenge you and me could write a bad romance ohohohohoh i want your love and all your lover's revenge you and me could write a bad romance ohohohohoh ohohohoh ohohoh caught in a bad romance ohohohohoh ohohohoh ohohoh caught in a bad romance  post raraahahah romaromama gaga ooh lala want your bad romance   i want your horror i want your design cause youre a criminal as long as youre mine i want your love love love love i want your love uh i want your psycho your vertigo shtick shtick hey want you in my rear window baby you're sick i want your love love love love i want your love love love love i want your love  pre you know that i want you and you know that i need you 'cause i'm a free bitch baby i want it bad your bad romance   i want your love and i want your revenge you and me could write a bad romance ohohohohoh i want your love and all your lover's revenge you and me could write a bad romance ohohohohoh ohohohoh ohohoh caught in a bad romance ohohohohoh ohohohoh ohohoh caught in a bad romance  post raraahahah romaromama gaga ooh lala want your bad romance raraahahah romaromama gaga ooh lala want your bad romance    walk walk fashion baby work it move that bitch crazy walk walk fashion baby work it move that bitch crazy walk walk fashion baby work it move that bitch crazy walk walk passion baby work it i'm a free bitch baby    i want your love and i want your revenge i want your love i don't wanna be friends je veux ton amour et je veux ta revanche je veux ton amour i don't wanna be friends ohohohohoh ohohohoh ohohoh i want you back no i don't wanna be friends caught in a bad romance i don't wanna be friends want your bad romance caught in a bad romance want your bad romance   i want your love and i want your revenge you and me could write a bad romance ohohohohoh i want your love and all your lover's revenge you and me could write a bad romance ohohohohoh ohohohoh ohohoh want your bad romance caught in a bad romance want your bad romance ohohohohoh ohohohoh ohohoh want your bad romance caught in a bad romance  post raraahahah roma romama gaga ooh lala want your bad romance
3,Lady Gaga,Sexxx Dreams,ARTPOP,2013,2013-11-06,last night our lovers' quarrel i was thinking about you hurts more than i can say and it was kind of dirty all night and the way that you looked at me help me here it was kind of nasty aah help me here it was kind of trashy 'cause i can't help my mind from going there  pre heard your boyfriend was away this weekend wanna meet at my place heard that we both got nothing to do when i lay in bed i touch myself and think of you   last night damn you were in my sex dreams you were in my doing really nasty things you were in my dreams damn you were in my sex dreams you were in my making love in my sex dreams   we could be caught i just want this to be perfect we're both convicted criminals of thought 'cause i'm broken let's white by the one before glove the bed he was kind of nasty help me here and i feel so trashy 'cause we can't hide the evidence in our heads  pre heard your boyfriend was away this weekend wanna meet at my place heard that we both got nothing to do woo when i lay in bed i touch myself and think of you   last night damn you were in my sex dreams you were in my doing really nasty things you were in my dreams damn you were in my sex dreams you were in my making love in my sex dreams  post don't stop the party making love in my sex dreams let's keep it naughty yeah making love in my sex dreams watch me act a fool making love in my sex dreams tomorrow when i run into you tomorrow when i run into you   you could turn to stone or the color of men petrified by a woman in love as i am when i lay with you i think of him i think of him  spoken interlude i can't believe i'm telling you this but i've had a couple drinks and oh my god   last night damn you were in my sex dreams you were in my doing really nasty things you were in my dreams damn you were in my sex dreams you were in my  post last night don't stop the party damn you were in my sex dreams let's keep it naughty yeah doing really nasty things watch me act a fool damn you were in my sex dreams tomorrow when i run into you making love in my sex dreams
4,Lady Gaga,I’ll Never Love Again (Extended Version),A Star is Born (Original Motion Picture Soundtrack),2018,2018-10-05,wish i could i could've said goodbye i would've said what i wanted to maybe even cried for you if i knew it would be the last time i would've broke my heart in two tryin' to save a part of you   don't want to feel another touch don't wanna start another fire don't wanna know another kiss no other name falling off my lips don't wanna to give my heart away to another stranger or let another day begin won't even let the sunlight in no i'll never love again i'll never love again ooouuu ooou oou  oh   when we first met i never thought that i would fall i never thought that i'd find myself lying in your arms and i want to pretend that it's not true oh baby that you're gone 'cause my world keeps turning and turning and turning and i'm not movin' on   don't want to feel another touch don't wanna start another fire don't wanna know another kiss no other name falling off my lips don't wanna give my heart away to another stranger or let another day begin won't even let the sunlight in no i'll never love   i don't wanna know this feeling unless it's you and me i don't wanna waste a moment ooh and i don't wanna give somebody else the better part of me i would rather wait for you hoooo ouuu   don't want to feel another touch don't want to start another fire don't want to know another kiss baby unless they are your lips don't want to give my heart away to another stranger or let another day begin won't even let the sunlight in oooo i'll never love again love again i'll never love again i'll never love again   i won't i won't i swear i can't i wish i could but i just won't i'll never love again i'll never love again who oo oo oo oo hmmm
5,Lady Gaga,Poker Face,The Fame,2008,2008-09-26,mum mum mum mah mum mum mum mah mum mum mum mah mum mum mum mah mum mum mum mah   i wanna hold 'em like they do in texas please fold 'em let 'em hit me raise it baby stay with me i love it love game intuition play the cards with spades to start and after he's been hooked i'll play the one that's on his heart  pre oh ohoh oh oh oh oh oh oh oh oh i'll get him hot show him what i've got oh ohoh oh oh oh oh oh oh oh oh i'll get him hot show him what i've got   can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody  post popopopoker face fufufuck her face mum mum mum mah popopopoker face fufufuck her face mum mum mum mah   i wanna roll with him a hard pair we will be a little gambling is fun when you're with me i love it russian roulette is not the same without a gun and baby when it's love if it's not rough it isn't fun fun  pre oh ohoh oh oh oh oh oh oh oh oh i'll get him hot show him what i've got oh ohoh oh oh oh oh oh oh oh oh i'll get him hot show him what i've got   can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody  post popopopoker face fufufuck her face mum mum mum mah popopopoker face fufufuck her face mum mum mum mah mum mum mum mah mum mum mum mah   i won't tell you that i love you kiss or hug you 'cause i'm bluffin' with my muffin i'm not lying i'm just stunnin' with my lovegluegunnin' just like a chick in the casino take your bank before i pay you out i promise this promise this check this hand 'cause i'm marvelous   can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody can't read my can't read my no he can't read my poker face she's got me like nobody  post popopopoker face fufufuck her face popopopoker face fufufuck her face she's got me like nobody popopopoker face fufufuck her face mum mum mum mah popopopoker face fufufuck her face mum mum mum mah popopopoker face fufufuck her face mum mum mum mah popopopoker face fufufuck her face mum mum mum mah
6,Lady Gaga,Million Reasons,Joanne,2016,2016-10-05,you're giving me a million reasons to let you go you're giving me a million reasons to quit the show you're givin' me a million reasons give me a million reasons givin' me a million reasons about a million reasons  if i had a highway i would run for the hills if you could find a dry way i'd forever be still but you're giving me a million reasons give me a million reasons givin' me a million reasons about a million reasons   i bow down to pray i try to make the worst seem better lord show me the way to cut through all his worn out leather i've got a hundred million reasons to walk away but baby i just need one good one to stay   head stuck in a cycle i look off and i stare it's like that i've stopped breathing but completely aware 'cause you're giving me a million reasons give me a million reasons givin' me a million reasons about a million reasons  and if you say something that you might even mean it's hard to even fathom which parts i should believe 'cause you're giving me a million reasons give me a million reasons givin' me a million reasons about a million reasons   i bow down to pray i try to make the worst seem better lord show me the way to cut through all his worn out leather i've got a hundred million reasons to walk away but baby i just need one good one to stay   hey ehh ehh eyy baby i'm bleedin' bleedin' stay ehh ehhy can't you give me what i'm needin' needin' every heartbreak makes it hard to keep the faith but baby i just need one good one good one good one good one good one good one   when i bow down to pray i try to make the worst seem better lord show me the way to cut through all his worn out leather i've got a hundred million reasons to walk away but baby i just need one good one good one tell me that you'll be the good one good one baby i just need one good one to stay
7,Lady Gaga,G.U.Y.,ARTPOP,2014,2014-03-28,by lady gaga greetings himeros god of sexual desire son of aphrodite lay back and feast as this audio guides you through new and exciting positions   i wanna be the girl under you oh yeah i wanna be your guy yeah i wanna be the grave and earth you oh yeah our sex doesn't tell us no lies  pre i'm gonna wear the tie want the power to leave you i'm aimin' for full control of this love of this love touch me touch me don't be sweet love me love me please retweet let me be the girl under you that makes you cry   i wanna be that guy guy i wanna be that guy guy i wanna be that guy guy the girl under you guy   i'm gonna say the word and own you oh yeah you'll be my girl guy im romancin' loves to hold you oh yeah know you'll wear my makeup well  pre i'm gonna wear the tie want the power to leave you i'm aimin' for full control of this love of this love touch me touch me don't be sweet love me love me please retweet let me be the girl under you that makes you cry   i wanna be that guy guy i wanna be that guy guy i wanna be that guy guy the girl under you guy   i dont need to be on top to know im worth it 'cause i'm strong enough to know the truth i just want it to be hot because im best when im in love and im in love with you guy touch me touch me mount your goddess guy touch me touch me a summer moon comes into full phase guy get on top of me and mars' warring spirit rams into the atmosphere touch me touch me dont be shy i'm in charge like a guy i'll lay down face up this time under you like a guy   i wanna be that guy guy i wanna be that guy guy i wanna be that guy guy the girl under you guy i wanna be that guy guy i'll wreck you right up guy guy i'll lie down face up guy guy the girl under you guy   achtzehn sechzehn fourteen vierzehn freiheit nein zedd nein zedd nein zedd nein zedd
8,Lady Gaga,911,Chromatica,2020,2020-05-29,turnin' up emotional faders keep repeating selfhating phrases i have heard enough of these voices almost like i have no choice this is biological stasis my mood's shifting to manic places wish i laughed and kept the good friendships watch life here i go again  pre i can't see me cry can't see me cry ever again ooh i can't see me cry can't see me cry this is the end ooh   my biggest enemy is me pop a 9 my biggest enemy is me pop a 9 my biggest enemy is me ever since day one pop a 9 then pop another one   keep my dolls inside diamond boxes save 'em 'til i know i'm gon' drop this front i've built around my oasis paradise is in my hands holdin' on so tight to this status it's not real but i'll try to grab it keep myself in beautiful places paradise is in my hands  pre i can't see me cry can't see me cry ever again ooh i can't see me cry can't see me cry this is the end ooh   my biggest enemy is me pop a 9 my biggest enemy is me pop a 9 my biggest enemy is me ever since day one pop a 9 then pop another one   pop pop another one ooh pop a 9 then pop another one ooh  pre i can't see me cry can't see me cry ever again ooh i can't see me cry can't see me cry this is the end ooh   my biggest enemy is me pop a 9 my biggest enemy is me pop a 9 my biggest enemy is me ever since day one pop a 9 then pop another one   please patch the line please patch the line need a 9 can you patch the line please patch the line please patch the line need a 9 can you patch the line
9,Lady Gaga,The Cure,Now That’s What I Call Music! 97 [UK],2017,2017-04-16,i'll undress you 'cause you're tired cover you as you desire when you fall asleep inside my arms may not have the fancy things but i'll give you everything you could ever want it's in my arms  pre so baby tell me yes and i will give you everything so baby tell me yes and i will be all yours tonight so baby tell me yes and i will give you everything i will be right by your side   if i can't find the cure i'll i'll fix you with my love no matter what you do i'll i'll fix you with my love and if you say you're okay i'm gonna heal you anyway promise i'll always be there promise i'll be the cure be the cure   rub your feet your hands your legs let me take care of it babe close your eyes i'll sing your favorite song i wrote you this lullaby hush now baby don't you cry anything you want could not be wrong  pre so baby tell me yes and i will give you everything so baby tell me yes and i will be all yours tonight so baby tell me yes and i will give you everything i will be right by your side   if i can't find the cure i'll i'll fix you with my love no matter what you do i'll i'll fix you with my love and if you say you're okay i'm gonna heal you anyway promise i'll always be there promise i'll be the cure be the cure   i'll fix you with my love i'll fix you with my lovelolove i'll fix you with my love i'll fix you with my lovelolove   if i can't find the cure i'll i'll fix you with my love no matter what you do i'll i'll fix you with my love and if you say you're okay i'm gonna heal you anyway promise i'll always be there promise i'll be the cure be the cure promise i'll be the cure be the cure   i'll fix you with my love
