,Artist,Title,Album,Year,Date,Lyric
0,Nicki Minaj,Only,The Pinkprint,2014,2014-10-28,nicki minaj yo i never fucked wayne i never fucked drake on my life man fuck's sake if i did i'd ménage with 'em and let 'em eat my ass like a cupcake my man full he just ate i don't duck nobody but tape yeah that was a setup for a punchline on duct tape wowowoworried  'bout if my butt fake worry 'bout y'all niggas us straight ththese girls are my sons jojon  kate plus eight when i walk in sit up straight i don't give a fuck if i was late dinner with my man on a g5 is my idea of a update huthut one huthut two big titties big butt too fufuck with them real niggas who don't tell niggas what they up to had to show bitches where the top is riring finger where the rock is thethese hoes couldn't test me even if their name was pop quiz bad bitches who i fuck with mamamad bitches we don't fuck with i don't fuck with them chickens unless they last name is cutlet let it soak in like seasoning and tell them bitches blow me lance stephenson   chris brown raise every bottle and cup in the sky sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side only   drake yeah i never fucked nicki 'cause she got a man but when that's over then i'm first in line and the other day in her maybach i thought goddamn this is the perfect time we had just come from that video you know la traffic how the city slow she was sitting down on that big butt but i was still staring at the titties though yeah lowkey or maybe highkey i been peeped that you like me you know who the fuck you really wanna be with besides me i mean it doesn't take much for us to do this shit quietly i mean she say i'm obsessed with thick women and i agree yeah that's right i like my girls bbw yeah type that wanna suck you dry and then eat some lunch with you yeah so thick that everybody else in the room is so uncomfortable ass on houston texas but the face look just like clair huxtable oh yeah you the man in the city when the mayor fuck with you the nba players fuck with you the badass bitches doing makeup and hair fuck with you oh that's 'cause i believe in something i stand for it and nicki if you ever tryna fuck just give me the headsup so i can plan for it pinkprint ayy   chris brown  drake raise every bottle and cup in the sky ayy sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side only   lil wayne i never fucked nick' and that's fucked up if i did fuck she'd be fucked up whoever is hittin' ain't hittin' it right 'cause she act like she need dick in her life that's another story i'm no storyteller i piss greatness like goldish yellow all my goons so overzealous i'm from hollygrove the holy mecca calendar say i got money for days i squirm and i shake but i'm stuck in my ways my girlfriend will beat a bitch up if she waved they bet' not fuck with her surfboard surfboard my eyes are so bright i take cover for shade don't have my money take mothers instead you got the hiccups you swallowed the truth then i make you burp boy treat beef like sirloin i'm talkin' 'bout runnin' in houses with army guns so think about your son and daughter rooms got two hoes with me masked up they got smaller guns ain't thinkin' 'bout your son and daughter rooms this shit is crazy my nigga i mean brazy my nigga that money talk i just rephrase it my nigga blood gang take the b off behavior my nigga for reals if you mouth off i blow your face off i mean poppoppop then i take off nigga now you see me nigga now you don't like jamie foxx acting like ray charles sixteen in a clip one in the chamber 7 ward bully with seventeen bullets my story is how i went from poor me to please pour me a drink and celebrate with me   chris brown  lil wayne raise every bottle and cup in the sky sparks in the air like the fourth of july nothing but bad bitches in here tonight oh if you lame and you know it be quiet young mula baby nothing but real niggas only bad bitches only rich niggas only independent bitches only boss niggas only thick bitches only i got my real niggas here by my side only
1,Nicki Minaj,Feeling Myself,The Pinkprint,2015,2015-05-18,nicki minaj yo b they ready let's go   beyoncé feelin' myself i'm feelin' myself i'm feelin' my feelin' myself i'm feelin' myself i'm feelin' my feelin' my feelin' myself i'm feelin' myself i'm feelin' my feelin' myself i'm feelin' myself i'm feelin' my   nicki minaj i'm with some hood girls lookin' back at it and a good girl in my tax bracket uh got a black card that'll let saks have it these chanel bags is a bad habit ii do balls dal mavericks my maybach black matted uh bitch never left but i'm back at it and i'm feelin' myself jack rabbit feelin' myself back off 'cause i'm feelin' myself jack off uh he be thinking about me when he whacks off wax on wax off national anthem hats off then i curve that nigga like a bad toss uh lemme get a number two with some mac sauce on the run tour with my mask off   beyoncé i'm feelin' myself i'm feelin' myself i'm feelin' my uh feelin' myself i'm feelin' myself i'm feelin' my feelin' my feelin' myself i'm feelin' myself i'm feelin' my uh feelin' myself i'm feelin' myself i'm feelin' my  post beyoncé changed the game with that digital drop know where you was when that digital popped i stopped the world male or female it make no difference i stop the world world stop carry on   nicki minaj kitty on fleek pretty on fleek uh pretty gang always keep them niggas on geek ridin'ridin' through texas texas feed him for his breakfast uh everytime i whip it i be talkin' so reckless he said damn nicki it's tight i say yeah nigga you right uh he said damn bae you so little but you be really takin' that pipe i said yes daddy i do gimme brain like nyu uh i said teach me nigga teach me all this learnin' here is by you  pre beyoncé i'm whippin' that work he diggin' that work i got it 6 of that real panky full of that bounce baby come get you some of that bounce baby   beyoncé i'm feelin' myself i'm feelin' myself i'm feelin' my uh feelin' myself i'm feelin' myself i'm feelin' my feelin' my feelin' myself i'm feelin' myself i'm feelin' my uh feelin' myself i'm feelin' myself i'm killin' my   nicki minaj  beyoncé nicki minaj  beyoncé cookin' up that base base lookin' like a kilo kilo he just wanna taste taste biggin' up my ego ego ego ego ego ego ego ego ego ego ridin' through texas ridin' through texas ridin' through texas smoke it all off talkin' bout that highgrade baby hold up i can kill your migraine migraine migraine migraine migraine migraine migraine migraine migraine ridin' through texas ridin' through texas ridin' through texas   nicki minaj  beyoncé bitches ain't got punchlines or flow i have both and an empire also keep gettin' gifts from santa claus at the north pole today i'm icy but i'm prayin' for some more snow let that ho ho letlet that ho know he in love he in love with that coco why these bitches don't never be learnin' you bitches will never get what i be earnin' uh i'm still gettin' plaques from my records that's urban ain't gotta rely on top 40 i am a rap legend just go ask the kings of rap who is the queen and things of that nature look at my finger that is a glacier hits like a laser rrr drippin' on that work trippin' off that perc flippin' up my skirt and i be whippin' all that work takin' trips with all them ki's car keys got b's uh stingin' with the queen b and we be whippin' all of that d cause we dope girls we flawless we the poster girls for all this uh we run around with them ballers only real niggas in my call list i'm the big kahuna go let them whores know uh just on this song alone bitch is on her fourth flow   nicki minaj hahaha rrrrrrrrrr you like it don't'chyea snitches laughter young money
2,Nicki Minaj,Barbie Dreams,Queen (Bonus Version),2018,2018-08-10,uh mmm kyuh rip to big  classic shit   i'm lookin' for a nigga to give some babies a handful of weezy sprinkle of dave east man i ain't got no type like jxmmi and swae lees but if he can't fuck three times a night peace i tried to fuck 50 for a powerful hour but all that nigga wanna do is talk power for hours bbeat the pussy up make sure it's a ko step your banks up like you're movin' that yayo somebody go and make sure karrueche okay though i heard she think i'm tryna give the coochie to quavo they always wanna beat it up goon up the pussy man maybe i should let him autotune up the pussy all these bow wow challenge niggas lyin' and shit man these fetty wap niggas stay eyein' my shit drake worth a hundred mill he always buyin' me shit but i don't know if the pussy wet or if he cryin' and shit meek still be in my dms i be havin' to duck him i used to pray for times like this faceass when i fuck him man uzi is my baby he ain't takin' a l but he took it literally when i said go to hell used to fuck with young thug i ain't addressin' this shit ccaught him in my dressing room stealin' dresses and shit i used to give this nigga with a lisp tests and shit how you want the puthy can't say your s's and shit uh   dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' barbie dreams dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' bbbbarbie dreams dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' bbbbarbie bbbbarbie dreams dreams of fuckin' one of these little rappers barbie dreams i'm just playin' but i'm sayin'   i remember when i used to have a crush on special ed shoutout desiigner 'cause he made it out of special ed you wanna fuck me you gotta give some special head 'cause this pussy have these niggas on some special meds like mike tyson he was bitin' my shit talkin' 'bout yo why you got these niggas fightin' and shit on the on the real i should make these niggas scrap for the pussy young ma and lady luck get the strap for this pussy uh and i woulda had odell beckham bangin' the cake 'til i saw him hoppin' out of cars dancin' to drake i been a fivestar bitch man word to gotti i'ma do that nigga future dirty word to scottie had to cancel dj khaled boy we ain't speakin' ain't no fat nigga tellin' me what he ain't eatin' yg and the game with the hammer yellin' gang gang this aint what i meant when i said a gang bang tekashi want a ménage i said treway curved him and went the kim and kanye way em cop the barbie dreamhouse then you can play the part ii ain't tryna bust it open in a trailer park   dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' barbie dreams dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' bbbbarbie dreams dreams of fuckin' one of these little rappers i'm just playin' but i'm sayin' bbbbarbie bbbbarbie dreams dreams of fuckin' one of these little rappers barbie dreams i'm just playin' but i'm sayin' bbbbarbie dreams barbie dreams i'm just playin' but i'm sayin' bbbbarbie bbbbarbie dreams   you know i'm all 'bout them dollars i be supportin' them scholars i let him give me some brain but he wanted me to ride it so i said fuck it i'm in he wanna cut like a trim and if he act like he know i let him fuck it again i got them bars i'm indicted i'm poppin' i'm uninvited i said just lick on the clitoris nigga don't fuckin' bite it i ride his  in a circle i turn stefan into urkel i go arounds and arounds and i'ma go down in slow motion thethen i pick it up look at it i said daddy come get at it uh yellow brick road he said that i am a wiz at it yeah they want it want it you know i flaunt it flaunt it i'm a trendsetter everything i do they do yeah i put 'em up on it on it dimelo papi papi yo quiero sloppy sloppy i'll give it to you if you beat it up like pacqui pacqui iiii'ma kill 'em with the shoe no ceiling is in the roof and i'm big give me the loot  cylinders in the coupe i get dome with the chrome no tellin' when i'ma shoot i just bang bang bang real killas is in my group gorillas is in my unit vacationin' where it's humid and i shine shine shine got diamonds all in my cubans i'm in la times more than when niggas lootin' and my flow spit crack i think that nigga usin' he done bodied everybody in closing these bitches losin' usin' usin' up a bitch movin' no i ain't stuttered and no i ain't ruben damn a bitch snoozin' shoutout to my jews l'chaim rick rubin big fat titties yes they be protrudin' i be like fuck 'em fuck 'em bring the lube in i be like fuck 'em fuck 'em bring the lube in
3,Nicki Minaj,Truffle Butter,The Pinkprint,2015,2015-01-23,maya jane coles you know don't you yeah night of you know don't you yeah night of   drake uh thinkin' out loud i must have a quarter million on me right now hard to make a song 'bout somethin' other than the money two things i'm about it talkin' blunt and staying blunted pretty women are you here are you here right now huh we should all disappear right now look you're gettin' all your friends and you're gettin' in the car and you're comin' to the house are we clear right now huh you see the fleet of all the new things cop cars with the loose change all white like i move things niggas see me rollin' and they mood change like a muhfucka new flow i got a dozen of 'em i don't trust you you a undercover i could probably make some stepsisters fuck each other woo talkin' filets with the truffle butter fresh sheets and towels man she gotta love it yeah they all get what they desire from it what tell them niggas we ain't hidin' from it   maya jane coles you know don't you yeah night of you know don't you yeah night of   nicki minaj yo thinkin' out loud i must have about a milli on me right now and i ain't talkin' about that lil wayne record i'm still the highest sellin' female rapper for the record man this a 65 million single sold i ain't gotta compete with a single soul i'm good with the ballpoint game finger roll ask me how to do it i don't tell a single soul pretty women wassup is you here right now you a standup or is you in your chair right now uhh do you hear me i can't let a wack nigga get near me i might kiss the baddest bitch if you dare me i ain't never need a man to take care of me yo i'm in that big boy bitches can't rent this i floss everyday but i ain't a dentist your whole style and approach i invented and i ain't takin' that back cause i meant it   maya jane coles you know don't you yeah night of you know don't you yeah night of   lil wayne uh thinkin' out loud i could be broke and keep a million dollar smile lol to the bank check in my account bank teller flirtin' after checkin' my account pretty ladies are you here truffle butter on your pussy cuddle buddies on the low you ain't gotta tell your friend that i eat it in the morning cause she gon' say i know can i hit it in the bathroom put your hands on the toilet i'll put one leg on the tub girl this my new dance move i just don't know what to call it but bitch you dancing with the stars i ain't nothin' like your last dude what's his name  not important i brought some cocaine if you snortin' she became a vacuum put it on my dick like carpet suck the white off white chocolate i'm so heartless thoughtless lawless and flawless smallest regardless largest in charge and born in new orleans get killed for jordans skateboard i'm gnarly drake tunechi and barbie you know   maya jane coles you know don't you yeah night of you know don't you yeah night of
4,Nicki Minaj,Chun-Li,Queen (Bonus Version),2018,2018-04-12,ayo look like i'm goin' for a swim dunked on 'em now i'm swingin' off the rim bitch ain't comin' off the bench while i'm comin' off the court fully drenched here go some haterade get ya thirst quenched styled on 'em in this burberry trench these birds copy every word every inch but gang gang got the hammer and the wrench brrr i pull up in that quarter milli off the lot oh now she tryna be friends like i forgot show off my diamonds like i'm signed by the roc by the rock ain't pushin' out his babies 'til he buy the rock   ayo i been on bitch you been corn bentley tints on fendi prints on i mean i been storm xmen been formed he keep on dialin' nicki like the prince song iii been on bitch you been corn bentley tints on fendi prints on ayo i been north lara been croft plates say chunli drop the benz off  interlude  oh i get it huh they paintin' me out to be the bad guy well it's the last time you gonna see a bad guy do the rap game like me   i went and copped the chopsticks put it in my bun just to pop shit i'm always in the top shit box seats bitch fuck the gossip how many of them coulda did it with finesse now everybody like she really is the best you play checkers couldn't beat me playin' chess now i'm about to turn around and beat my chest bitch it's king kong yes it's king kong bitch it's king kong this is king kong chinese ink on siamese links on call me  chainz name go ding dong bitch it's king kong yes i'm king kong this is king kong yes miss king kong in my kingdom wit' my timbs on how many championships what six rings on  interlude  they need rappers like me they need rappers like me so they can get on their fucking keyboards and make me the bad guy chunli   ayo i been on bitch you been corn bentley tints on fendi prints on i mean i been storm xmen been formed he keep on dialin' nicki like the prince song iii been on bitch you been corn bentley tints on fendi prints on ayo i been north lara been croft plates say chunli drop the benz off   i come alive i i'm always sky high designer thigh highs it's my lifestyle i come alive i i'm always sky high designer thigh highs it's my lifestyle i need a mai tai so fuckin' scifi give me the password to the fuckin' wifi
5,Nicki Minaj,Beez In The Trap,Pink Friday: Roman Reloaded,2012,2012-05-29,nicki minaj yo man man uh   nicki minaj bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap mmm i beez in the trap bee beez in the trap   nicki minaj man i been did that man i been popped off and if she ain't trying to give it up she get dropped off let me bust that uie bitch bust that open might spend a couple thou' just to bust that open rip it off no joking like your name hulk hogan niggas move weight in the south but live in hoboken bitch i spit that crack like i'm in that trap so if you need a hit then i'm with that bat bow   nicki minaj   chainz bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing tru i beez in the trap bee beez in the trap yeah i beez in the trap bee beez in the trap  chainz    chainz okay now nicki nicki nicki put it in your kidney got a new ls 450 ain't no keys in this dohicky if i weren't rapping i'd be trapping if i weren't trapping i'd be pimping if i weren't pimping i'd be getting it period i don't smoke no bobby but my denim be from ricky got your girl on molly and we smokin' loud and drinkin' got my top back so you can see what i been thinkin' if you know me then you know i've been thinking franklin money thousands true religion trousers tell 'em got a private home started from them public houses damn hair weave killer causing her arousal tru audi a8 told them outtie 5000 uh   nicki minaj bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap   nicki minaj damn damn what they say about me i don't know man fuck is on your biscuit if i get hit swinging on a big bitch i don't know man i'm shittin' on your whole life damn damn what they say about me i don't know man fuck is on your biscuit if i get hit swinging on a big bitch i don't know man i'm shittin' on your whole life   nicki minaj bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap   nicki minaj man i'm out in texas man i'm out in atown then i'm up in chitown or miami shuttin' it down it's that new orleans it's la or the bay it's new york philly and the whole dmv i'm a detroit player man it's northsouth cack ohio pittsburgh got st louis on deck it's delaware connecticut it's new jersey got hella bricks it's queens brooklyn and yeah they wildin' bronx harlem and staten island   nicki minaj bitches ain't shit and they ain't sayin' nothing a hundred motherfuckers can't tell me nothing i beez in the trap bee beez in the trap i beez in the trap bee beez in the trap   nicki minaj damn damn what they say about me i don't know man fuck is on your biscuit if i get hit swinging on a big bitch i don't know man i'm shittin' on your whole life damn damn what they say about me i don't know man fuck is on your biscuit if i get hit swinging on a big bitch i don't know man i'm shittin' on your whole life
6,Nicki Minaj,Anaconda,The Pinkprint,2014,2014-08-04,sir mixalot my anaconda don't my anaconda don't my anaconda don't want none unless you got buns hun   nicki minaj boy toy named troy used to live in detroit bibig dope dealer money he was gettin' some coins was in shootouts with the law but he live in a palace bobought me alexander mcqueen he was keeping me stylish now that's real real real gun in my purse bitch i came dressed to kill who wanna go first i had them pushing daffodils i'm high as hell i only took a half a pill i'm on some dumb shit by the way what he say he can tell i ain't missing no meals come through and fuck him in my automobile let him eat it with his grills and he tellin' me to chill and he telling me it's real that he love my sex appeal say he don't like 'em boney he want something he can grab so i pulled up in the jag and i hit him with the jab like dundddundundddundun  pre sir mixalot my anaconda don't my anaconda don't my anaconda don't want none unless you got buns hun   nicki minaj oh my gosh look at her butt oh my gosh look at her butt iohhaha oh my gosh look at her butt look at her butt look at look at look at look at her butt   nicki minaj thithis dude named michael used to ride motorcycles didick bigger than a tower i ain't talking about eiffel's real countryass nigga let me play with his rifle pussy put his ass to sleep now he calling me nyquil now that bang bang bang i let him hit it 'cause he slang cocaine he toss my salad like his name romaine and when we done i make him buy me balmain i'm on some dumb shit by the way what he say he can tell i ain't missing no meals come through and fuck him in my automobile let him eat it with his grills and he telling me to chill and he telling me it's real that he love my sex appeal he say he don't like 'em boney he want something he can grab so i pulled up in the jag mayweather with the jab like dundddundundddundun  pre sir mixalot my anaconda don't my anaconda don't my anaconda don't want none unless you got buns hun   nicki minaj oh my gosh look at her butt oh my gosh look at her butt iohhaha oh my gosh look at her butt look at her butt look at look at look at look at her butt  breakdown sir mixalot little in the middle but she got much back little in the middle but she got much back little in the middle but she got much back oh my god look at my butt  pre sir mixalot my anaconda don't my anaconda don't my anaconda don't want none unless you got buns hun dodon't my anaconda don't don't dodon't want none unless you got buns hun   nicki minaj oh my gosh look at her butt little in the middle but she got much back oh my gosh look at her butt little in the middle but she got much back oh my gosh look at her butt little in the middle but she got much back look at her butt look at look at look at look at her butt   nicki minaj yeah he love this fat ass hahahahahahahaha yeah this one is for my bitches with a fat ass in the fucking club i said where my fat ass big bitches in the club fuck those skinny bitches fuck those skinny bitches in the club i wanna see all the big fatass bitches in the muthafuckin' club fuck you if you skinny bitches what kyuh hahahaha rrrrrr kyuh yeah i got a big fat ass ass ass ass ass kyuh come on hey hey hey
7,Nicki Minaj,Lookin Ass (Lookin Ass Nigga),Young Money: Rise of an Empire,2014,2014-03-11,nicki minaj look at y'all niggas niggas look at y'all niggas niggas   nicki minaj look at y'all smokin' ass niggas after every pull niggas start chokin' ass niggas nigganigga look at y'all bitch ass niggas stop lyin' on your dick ass niggas nigganigga look at y'all lookin' ass niggas stop lookin' at my ass ass niggas look at y'all lyin' ass niggas talkin' 'bout it's paid off but it's financed lyin' ass nigga bunch of nonmogul ass niggas frontin' like they got a plan boost mobile ass nigga nigga nigga look at y'all can't get a job so you plottin' how to rob ass niggas i ain't gotta check for y'all but if i'ma check for y'all i'ma need a check from y'all niggas i don't want sex give a fuck about your ex i don't even want a text from y'all niggas i'm rapin' you niggas look at this pic look at what the fuck i gave to you niggas ain't feelin' these niggas niggas want my time call me clinton i'm billin' these niggas   parker ighile all i know is there should be no reason all i know is there should be no reason all i all i know is there should be all i know all i all i know is there should be no reason all i know you know it and you know it look at what reason   nicki minaj look at y'all sharin' one bottle in the club one bottle full of bub' ass niggas look at y'all not havin' game ass niggas y'all niggas share a chain ass niggas same cup in the hand ass nigga in the club with a credit card scam ass nigga no dick in the pants ass nigga i be damned if i fuck a nonman ass nigga i will i will i will never fuck a nonman ass nigga i would never lie even if that nigga flew me and my bitches all the way out to dubai pussy you tried pussy ass nigga you lie pussy ass nigga you high bitch i'm me hundred on the wrist i ski art on the wall basqui fuck who see look at you fake dope dealers know real niggas that be movin' weight in them villas talkin' 'bout ki's say it's ki's in the van but he really move grams and he split it with his mans   parker ighile all i know is there should be no reason all i know is there should be no reason all i all i know is there should be all i know all i all i know is there should be no reason all i know you know it and you know it look at what reason
8,Nicki Minaj,Boss Ass Bitch (Remix),,2013,2013-12-30,i'm a bossass bitch bitch bitch bitch bitch bitch bitch i'm a bossass bitch bitch bitch bitch bitch bitch bitch i'm a bossass bitch bitch bitch bitch bitch bitch bitch i'm a bossass bitch bitch bitch bitch bitch bitch bitch i'm a bossass   yo i employ these niggas they be grown men but i little boy these niggas want the cookie so i gotta chips ahoy these niggas but i never iphone android these niggas use rubbers with 'em i don't ever raw these niggas more money than 'em i'ma son all these niggas i ain't shoppin' but it's like i gotta store these niggas put 'em on time out and never call these niggas pussy like girls damn is my pussy gay it's a holiday playwithmypussy day pussy this pussy that pussy taken pussy ride dick like she a jamaican pussy stay warm pussy on vacation you loose bitches need a pussy renovation you could eat it with a pussy reservation pussy 'bout to get a standin' ovation clap clapclap for this pussy nigga but i can't give this pussy to a pussy nigga aw man slow down i'ma get you something that you could hold down but i can't give you head i'm too ill for that i'ma make a movie still kill bill for that cause what the fuck this ain't chanel nigga custom done what the fuck i ain't smokin' hot bust me down you the same clown nigga that was runnin' me down now you all up in the sauce cause you wanna be down i said rule number  to be a boss ass bitch never let a clown nigga try to play you if he play you then rule number  fuck his best friends then make 'em yes men and get a dick pic and then you press send and send a red heart and send a kissy face and tell him that his friends love how your pussy taste and that's rule  i'm the school t my wrist look like i am a jewel thief but that's just 'cause i am a boss bitch now macaroni cheese and grill my swordfish    bitch bitch bitch bitch bitch bitch bitch i'm a boss ass  bitch bitch bitch bitch bitch bitch bitch i'm a bossass   bitch bitch bitch bitch bitch bitch bitch ifififififififif    if he catch my drift he could catch my jizz i be out in cali runnin' all my businesses i be out in cali watchin' back my christmas vids every time i fuck 'em yes i tell him this is his looked down at it and i said this is big man my game so cold i said this is rigged best flow in the game this is not a lie tell 'em bitches cross their t's and dot their i iiiiii i came back bitches' flows still boring i said damn man go back to whoring you know i still lead the league in scoring you know i'm still bad and i'm still foreign i'ma give bitches time to get hot chill out at the game new york knickerbock if they actually got bars they could rock but if not i'ma destroy chicks a lot oh but on the real i'm in album mode i just dropped this freestyle 'fore these files get old when i lay low bitches be safe and sound when i come back they better not make a sound  interlude i hear you when i'm back on the prowl you bitches better have my money cause i'm comin' for you ooh ooh   uh okay i order rich bitch sauce rich bitch cold got a rich bitch cough which bitch want it i go rich bitch off cause you know my style gettin' bit rippedoff when i'm at the restaurant rich bitch sauce rich bitch cold i got a rich bitch cough which bitch want it i go rich bitch off and you know my style gettin' bit rippedoff off off off off off off off i'm a bo i'm a boss   ask lil wayne who the fivestar bitch is ask lil wayne who the fivestar bitch is ask lil wayne ask lil wayne ask lil wayne who the fivestar bitch is ask birdman who the fivestar bitch is ask young money who the fivestar bitch is who the fivestar bitch is who the fivestar bitch is ask birdman who the fivestar bitch is ask lil wayne ask lil wayne ask lil wayne who the fivestar bitch is
9,Nicki Minaj,Super Bass,Pink Friday,2011,2011-04-05,nicki minaj this one is for the boys with the boomin' system top down ac with the cooler system when he come up in the club he be blazin' up got stacks on deck like he savin' up and he ill he real he might gotta deal he pop bottles and he got the right kind of build he cold he dope he might sell coke he always in the air but he never fly coach he a mothafuckin trip trip sailor of the ship ship when he make it drip drip kiss him on the lip lip that's the kinda dude i was lookin' for and yes you'll get slapped if you're lookin' ho i said excuse me you're a hell of a guy i mean my my my my you're like pelican fly i mean you're so shy and i'm loving your tie you're like slicker than the guy with the thing on his eye oh  refrain nicki minaj yes i did yes i did somebody please tell em who the f i is i am nicki minaj i mack them dudes up back coupes up and chuck the deuce up   nicki minaj  ester dean boy you got my heartbeat runnin' away beatin' like a drum and it's comin' your way can't you hear that boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass yo yo   nicki minaj this one is for the boys in the polos entrepreneur niggas and the moguls he could ball with the crew he could  but i think i like him better when he dolo and i think i like him better with the fitted cap on he ain't even gotta try to put the mack on he just gotta give me that look when he give me that look then the panties comin' off off uh excuse me you're a hell of a guy you know i really got a thing for american guys i mean sigh sickenin' eyes i can tell that you're in touch with your feminine side uh  refrain nicki minaj yes i did yes i did somebody please tell 'em who the f i is i am nicki minaj i mack them dudes up back coupes up and chuck the deuce up   nicki minaj  ester dean boy you got my heartbeat runnin' away beatin' like a drum and it's comin' your way can't you hear that boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass yo yo   nicki minaj see i need you in my life for me to stay know know know know know i know you'll stay no no no no no don't go away hey boy you got my heartbeat runnin' away don't you hear that heartbeat comin' your way oh it be like boom badoom boom boom badoom boom bass can't you hear that boom badoom boom boom badoom boom bass   nicki minaj  ester dean boy you got my heartbeat runnin' away beatin' like a drum and it's comin' your way can't you hear that boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass boom boom boom badoom bass bass boom boom boom bass yeah boom boom boom badoom bass bass boom boom boom bass boom badoom boom boom badoom boom bass he got that super bass boom badoom boom boom badoom boom bass yeah that's that super bass yo yo
