,Artist,Title,Album,Year,Date,Lyric
0,Post Malone,​​rockstar,beerbongs & bentleys,2017,2017-09-15,post malone hahahahaha tank god ayy ayy   post malone i've been fuckin' hoes and poppin' pillies man i feel just like a rockstar star ayy ayy all my brothers got that gas and they always be smokin' like a rasta 'sta fuckin' with me call up on a uzi and show up man them the shottas 'tas when my homies pull up on your block they make that thing go grrratatata ta pow pow pow ayy ayy   post malone switch my whip came back in black i'm startin' sayin' rest in peace to bon scott scott ayy close that door we blowin' smoke she ask me light a fire like i'm morrison 'son ayy act a fool on stage prolly leave my fuckin' show in a cop car car ayy shit was legendary threw a tv out the window of the montage cocaine on the table liquor pourin' don't give a damn dude your girlfriend is a groupie she just tryna get in sayin' i'm with the band ayy ayy now she actin' outta pocket tryna grab up on my pants hundred bitches in my trailer say they ain't got a man and they all brought a friend yeah ayy ayy ayy   post malone i've been fuckin' hoes and poppin' pillies man i feel just like a rockstar star ayy ayy all my brothers got that gas and they always be smokin' like a rasta 'sta fuckin' with me call up on a uzi and show up man them the shottas 'tas when my homies pull up on your block they make that thing go grrratatata ta pow pow pow    savage i've been in the hills fuckin' superstars feelin' like a popstar    drankin' henny bad bitches jumpin' in the pool and they ain't got on no bra bra hit her from the back pullin' on her tracks and now she screamin' out no más yeah yeah yeah they like savage why you got a  car garage and you only got six cars  i ain't with the cakin' how you kiss that kiss that your wifey say i'm lookin' like a whole snack big snack green hundreds in my safe i got old racks old racks la bitches always askin' where the coke at   livin' like a rockstar smash out on a cop car sweeter than a poptart you know you are not hard i done made the hot chart 'member i used to trap hard livin' like a rockstar i'm livin' like a rockstar ayy   post malone   savage i've been fuckin' hoes and poppin' pillies man i feel just like a rockstar star ayy ayy all my brothers got that gas and they always be smokin' like a rasta 'sta yeah yeah yeah yeah fuckin' with me call up on a uzi and show up man them the shottas 'tas when my homies pull up on your block they make that thing go grrratatata ta grrratatatata   post malone star star rockstar rockstar star rockstar rockstar feel just like a rock rockstar rockstar rockstar feel just like a
1,Post Malone,White Iverson,Stoney (Deluxe),2015,2015-02-04,double ot i'm a new three   saucin' saucin' i'm saucin' on you i'm swaggin' i'm swaggin' i'm swaggin' ohooh swaggin' i'm ballin' i'm ballin' iverson on you swish ooh ayy watch out watch out watch out yeah that's my shot that's my shot that's my shot yeah spendin' i'm spendin' all my fuckin' pay   i got me some braids and i got me some hoes started rockin' the sleeve i can't ball with no joes you know how i do it concords on my toes this shit is hard ooh i ain't rich yet but you know i ain't broke i i ain't broke i so if i see it i like it buy that from the store i that from the store i i'm with some white girls and they lovin' the coca coca like they ot double ot like i'm kd smokin' og smokin' og and you know me in my s and my gold teeth and my gold teeth bitch i'm smiling bet you see me from the nosebleeds nosebleeds i'm a new three and i change out to my new s to my new s  pre white iverson when i started ballin' i was young you gon' think about me when i'm gone i need that money like the ring i never won i won   saucin' saucin' i'm saucin' on you i'm swaggin' i'm swaggin' i'm swaggin' ohooh i'm ballin' i'm ballin' iverson on you on you on you watch out watch out watch out yeah that's my shot that's my shot that's my shot yeah spendin' i'm spendin' all my fuckin' pay   ooh stoney cigarettes and a headband commas commas in my head man slumped over like a dead man red and black 'bout my bread man i'm the answer never question lace up learn a lesson bitch i'm saucin' wow i do this often don't do no talkin' no my options right when i walk in jump all them jordans ooh i'm ballin' money jumpin' like i'm davis from new orleans or bitch i'm harden i don't miss nothin' fuck practice this shit just happens know y'all can't stand it ayy i have it i never pass it i work my magic high average ball on these bastards it makes me happy it's tragic i make it happen and all y'all shaqtin'  pre white iverson when i started ballin' i was young you gon' think about me when i'm gone i need that money like the ring i never won i won   saucin' saucin' i'm saucin' on you i'm swaggin' i'm swaggin' i'm swaggin' ohooh i'm ballin' i'm ballin' iverson on you watch out watch out watch out yeah that's my shot that's my shot that's my shot yeah spendin' i'm spendin' all my fuckin' pay   oohooh oohooh oohooh oohooh
2,Post Malone,Congratulations,Stoney (Deluxe),2016,2016-11-04,post malone mmmmm yeah yeah mmmmm yeah hey   post malone my momma called seen you on tv son said shit done changed ever since we was on i dreamed it all ever since i was young they said i wouldn't be nothing now they always say congratulations uh uh uh worked so hard forgot how to vacation uhhuh they ain't never had the dedication uh uh people hatin' say we changed and look we made it uh uh yeah we made it uh uh uh   post malone they was never friendly yeah now i'm jumping out the bentley yeah and i know i sound dramatic yeah but i know i had to have it yeah for the money i'm a savage yeah i be itching like a addict yeah i'm surrounded twenty bad bitches yeah but they didn't know me last year yeah everyone wanna act like they important yeahyeahyeah yeahyeahyeah but all that mean nothing when i saw my dough yuh yeahyeahyeah yeahyeahyeah everyone countin' on me drop the ball yuh yeahyeahyeah yeahyeahyeah everything custom like i'm at the border yeah yeah if you fuck with winning put your lighters to the sky how could i make cents when i got millions on my mind coming with that bullshit i just put it to the side balling since a baby they could see it in my eyes   post malone  quavo my momma called seen you on tv son said shit done changed ever since we was on i dreamed it all ever since i was young they said i wouldn't be nothing now they always say congratulations congratulations worked so hard forgot how to vacation ooh they ain't never had the dedication uh uh ayy people hatin' say we changed and look we made it uh uh yeah we made it uh uh uh yeah   quavo i was patient yeah oh i was patient ayy ooh now i can scream that we made it we made it now everywhere everywhere i go they say 'gratulation ooh young nigga young nigga graduation yeah i pick up the rock and i ball baby ball i'm looking for someone to call baby brr but right now i got a situation ayy never old benben franklins cash big rings ooh champagne champagne my life is like a ball game ball game but instead i'm in the trap though trap though pot so big call it super bowl super bowl super bowl call the hoes brr get in the rolls skrrt topfloor lifestyle top huncho and post yeah ayy malone ayy i gotta play on my phone ayy you know what i'm on ayy huncho houdini is gone ayy   post malone  quavo my momma called seen you on tv son said shit done changed ever since we was on i dreamed it all ever since i was young they said i wouldn't be nothing now they always say congratulations ayy uh uh uh worked so hard forgot how to vacation uhhuh ooh they ain't never had the dedication ayy uh uh people hatin' say we changed and look we made it yeah  uh uh yeah we made it ayy   hey hey hey hey hey hey hey hey
3,Post Malone,Psycho,beerbongs & bentleys,2018,2018-02-23,post malone damn my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload come with the tony romo for clowns and all the bozos my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload don't act like you my friend when i'm rollin' through my ends though   post malone you stuck in the friend zone i tell that fourfive the fifth ayy hunnid bands inside my shorts dechino the shit ayy try to stuff it all in but it don't even fit ayy know that i been with the shits ever since a jit ayy i made my first million i'm like shit this is it ayy 0 for a walkthrough man we had that bitch lit ayy had so many bottles gave ugly girl a sip out the window of the benzo we get seen in the rent' and i'm like woah man my neck so goddamn cold diamonds wet my tshirt soaked i got homies let it go oh my money thick won't ever fold she said can i have some to hold and i can't ever tell you no   post malone damn my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload come with the tony romo for clowns and all the bozos my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload don't act like you my friend when i'm rollin' through my ends though   ty dolla ign the ap goin' psycho my rollie goin' brazy i'm hittin' lil' mama she wanna have my babies it's fifty on the pinky chain so stanky you should see the whip promise i can take yo' bitch dolla ridin' in an old school chevy it's a drop top boolin' with a thotthot she gon' give me toptop just one switch i can make the ass drop hey ayy take you to the smoke shop we gon' get high ayy we gon' hit rodeo dial up valentino we gon' hit pico take you where i'm from take you to the slums this ain't happen overnight no these diamonds real bright saint laurent jeans still in my vans though all vvs' put you in a necklace girl you look beautiful tonight stars on the roof they matching with the jewelry   post malone damn my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload come with the tony romo for clowns and all the bozos my ap goin' psycho lil' mama bad like michael can't really trust nobody with all this jewelry on you my roof look like a noshow got diamonds by the boatload don't act like you my friend when i'm rollin' through my ends though
4,Post Malone,I Fall Apart,Stoney (Deluxe),2016,2016-12-09,ooh i fall apart ooh yeah mmm yeah   she told me that i'm not enough yeah and she left me with a broken heart yeah she fooled me twice and it's all my fault yeah she cut too deep now she left me scarred yeah now there's so many thoughts goin' through my brain yeah and now i'm takin' these shots like it's novocaine yeah   ooh i fall apart down to my core ooh i fall apart down to my core ooh didn't know it before surprised when you caught me off guard all this damn jewelry i bought you was my shorty i thought   never caught a feelin' this hard harder than the liquor i pour tell me you don't want me no more but i can't let go everybody told me so feelin' like i sold my soul devil in the form of a whore devil in the form of a whore you said it no you said it no you said that shit we'd be together oh   ooh i fall apart down to my core ooh i fall apart down to my core ooh didn't know it before surprised when you caught me off guard all this damn jewelry i bought you was my shorty i thought   ice keep pourin' and the drink keep flowin' try to brush it off but it keep on goin' covered in scars and i can't help showin' whippin' in the foreign and the tears keep rollin' ice keep droppin' and the drink keep flowin' try to brush it off but it keep on goin' all these scars can't help from showin' whippin' in the foreign and the tears keep blowin' yeah   ooh i fall apart down to my core ooh i fall apart down to my core ooh didn't know it before surprised when you caught me off guard all this damn jewelry i bought you was my shorty i thought
5,Post Malone,Circles,Hollywood’s Bleeding,2019,2019-08-30,oh oh oh oh  oh oh oh  oh oh oh oh   we couldn't turn around 'til we were upside down i'll be the bad guy now but know i ain't too proud i  couldn't be there even when i tried you  don't believe it we do this every time   seasons change and our love went cold feed  the flame 'cause we can't let go run away but we're running in circles run away run away i dare you to do something i'm  waiting on you again so i don't take the blame run away but we're running in circles run away run away run away   let go i got a feeling that it's time to let go i said so i knew that this was doomed from the getgo you thought that it was special special but it was just the sex though the sex though and i still hear the echoes the echoes i got a feeling that it's time to let it go let it go   seasons change and our love went cold feed the flame 'cause we can't let go run away but we're running in circles run away run away i dare you to do something i'm waiting on you again so i don't take the blame run away but we're running in circles run away run away run away   maybe you don't understand what i'm going through it's only me what you got to lose make up your mind tell me what are you gonna do it's only me let it go   seasons change and our love went cold feed the flame 'cause we can't let go run away but we're running in circles run away run away i dare you to do something i'm waiting on you again so i don't take the blame run away but we're running in circles run away run away run away
6,Post Malone,Better Now,beerbongs & bentleys,2018,2018-04-27,you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i did not believe that it would end no everything came second to the benzo you're not even speakin' to my friends no you knew all my uncles and my aunts though twenty candles blow 'em out and open your eyes we were lookin' forward to the rest of our lives used to keep my picture posted by your bedside now it's in your dresser with the socks you don't like and i'm rollin' rollin' rollin' rollin' with my brothers like it's jonas jonas drinkin' henny and i'm tryna forget but i can't get this shit outta my head   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i seen you with your other dude he seemed like he was pretty cool i was so broken over you life it goes on what can you do i just wonder what it's gonna take what's it gonna take another foreign or a bigger chain bigger chain because no matter how my life has changed i keep on looking back on better days   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh   i promise i swear to you i'll be okay you're only the love of my life love of my life   you prolly think that you are better now better now you only say that 'cause i'm not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything you know i say that i am better now better now i only say that 'cause you're not around not around you know i never meant to let you down let you down woulda gave you anything woulda gave you everything ohoh
7,Post Malone,Wow.,Hollywood’s Bleeding,2018,2018-12-24,said she tired of little money need a big boy pull up 0 inch blades like i'm lil troy now it's everybody flockin' need a decoy shawty mixing up the vodka with the lacroix yeah gwagen gwagen gwagen gwagen all the housewives pullin up up up i got a lot of toys 70s bumpin' fall out boy you was talkin' shit in the beginning mmmm back when i was feelin' more forgivin' more forgivin' i know it piss you off to see me winnin' see me winnin' see the igloo in my mouth when i be grinnin i be grinnin yeah   hunnid bands in my pocket it's on me hunnid deep when i roll like the army get more bottles these bottles are lonely its a moment when i show up got 'em sayin' wow wow wow hunnid bands in my pocket it's on me on me yeah your grandmama probably know me know me get more bottles these bottles are lonely its a moment when i show up got 'em sayin' wow wow wow   everywhere i go hey catch me on the block like i'm mutombo wow 750 lambo in the utah snow skrrt trunk in the front like that shit dumbo yeah cut the roof off like a niptuck pull up to the house with some big butts turn the kitchen counter to a stripclub yeah wow me and dre came for the when i got guap all of y'all just appeared wow before i dropped stoney none of y'all really cared cared now they always say congratulations to the kid kid and this is not a 40 but i'm pourin' out this shit yeah used to have a lot but i got more now yup made another hit 'cause i got bored now yup always goin' for it never punt fourth down last call hail mary prescott touchdown ayy   hunnid bands in my pocket it's on me on me hunnid deep when i roll like the army hey get more bottles these bottles are lonely it's a moment when i show up got 'em sayin' wow wow wow hunnid bands in my pocket it's on me yeah yeah yeah your grandmama probably know me yeah yeah get more bottles these bottles are lonely it's a moment when i show up got 'em sayin' wow   got 'em sayin' wow ayy ayy wow sayin' wow wow wow
8,Post Malone,Stay,beerbongs & bentleys,2018,2018-04-27,it's true that all that you know is all that you are you said that it's all that you want and more fuck off and pour another drink and tell me what you think you know that i'm too drunk to talk right now you put your cigarette out on my face so beautiful please woman  pre don't break your back for me i'll put you out of your misery   tell me that it's all okay tell me that it's all okay i've been waitin' on this all damn day waitin' on this all damn day call me in the mornin' tell me how last night went i'm here but don't count on me to   stay a little longer if you convince me and tell me all the things that you have against me every time we make up the truth is fadin' everybody's blind when the view's amazin' damn who are we right now can we have a little conversation figure it out with no intoxication we carry on what is our motivation we're never wrong how the hell we gonna make it maybe we're used to this tell me what are we to do it's like we only play to lose chasin' pain with an excuse i love that shit and so do you  pre but don't break your back for me i'll put you out of your misery   tell me that it's all okay tell me that it's all okay i've been waitin' on this all damn day waitin' on this all damn day call me in the mornin' tell me how last night went i'm here but don't count on me to stay      tell me that it's all okay tell me that it's all okay i've been waitin' on this all damn day waitin' on this all damn day call me in the mornin' tell me how last night went i'm here but don't count on me to stay
9,Post Malone,Go Flex,Stoney (Deluxe),2016,2016-04-21,lighting stog after stog i choke on the smoke they tell me to quit don't listen what i'm told they help me forget that this world is so cold i don't even know what i'm chasin' no more tell me what i want just keep searchin' on it's never enough cup after cup blunt after blunt i wouldn't give one if i could find a fuck ha ha ha uh in the cut and i put that on my momma and my bitch called talkin' 'bout some drama i swear there ain't no time for women on the come up it's either pussy or the commas   man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check   uh yeah push the gas get a motherfuckin' nose bleed she ain't never met a youngin' do it like me she got a man but she says she really like me she doin' things to excite me she sendin' all her friends snaps of my new tracks 'cause all these hoes know what's about to come next i hit my plug up got the paper connect i drop a couple bands i just wanna go   man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check   knowing all of this it just don't make a difference i'm just talking shit to the ones that'll listen i come with the heat man i swear i'm never missing and i'm still the same and i swear i'm never switching knowing all of this it just don't make a difference i'm just talking shit to the ones that'll listen i come with the heat man i swear i'm never missing and i'm still the same and i swear i'm never switching   man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex with my squad and i'm smokin' up a check   ooh man i just wanna go flex gold on my teeth and on my neck and i'm stone cold with the flex yeah ice cold with the flex haha that shit hard
