,Artist,Title,Album,Year,Date,Lyric
0,Rihanna,Work,ANTI,2016,2016-01-27,rihanna work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting   rihanna dry me a desert him nuh time to have you lurking him ah go act like he nuh like it you know i dealt with you the nicest nuh body touch me you nuh righteous nuh badda text me in a crisis i believed all of your dreams adoration you took my heart and my keys and my patience you took my heart on my sleeve for decoration you mistaken my love i brought for you for foundation all that i wanted from you was to give me something that i never had something that you've never seen something that you've never been mmmmm but i wake up and act like nothing's wrong just get ready fi   rihanna work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work ner ner ner ner ner ner when yuh ago learn learn learn learn learn learn before the tables turn turn turn turn turn turn   rihanna beg you something please baby don't you leave dont leave me stuck here in the streets uh huh if i get another chance to i will never no never neglect you i mean who am i to hold your past against you i just hope that it gets to you i hope that you see this through i hope that you see this true what can i say please recognize i'm tryin' babe i have to   rihanna work work work work work work he said me haffi work work work work work work he see me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting   drake with rihanna yeah okay you need to get done done done done at work come over we just need to slow the motion don't give that away to no one long distance i need you when i see potential i just gotta see it through if you had a twin i would still choose you i don't wanna rush into it if it's too soon but i know you need to get done done done done if you come over sorry if i'm way less friendly i got niggas tryna end me oh i spilled all my emotions tonight im sorry rollin' rollin' rollin' rollin' rollin' how many more shots until you're rollin' we just need a face to face you could pick the time and the place you spent some time away now you need to forward and give me all the   rihanna  drake work work work work work work he said me haffi work work work work work work he se me do mi dirt dirt dirt dirt dirt dirt so me put in work work work work work work when you ah guh learn learn learn learn learn meh nuh cyar if him hurt hurt hurt hurt hurting   rihanna mmmmm mmmmm mmmmm mmmmm work work work work work work mmmmm mmmmm  click here to learn more about the making of work  produced by boida
1,Rihanna,Love on the Brain,ANTI,2016,2016-01-28,and you got me like oh what you want from me what you want from me and i tried to buy your pretty heart but the price too high baby you got me like oh you love when i fall apart fall apart so you can put me together and throw me against the wall  pre baby you got me like iiiiiiiiihiii woo iiiiiiiiihiii don't you stop loving me loving me don't quit loving me loving me just start loving me loving me owwwwww   and babe im fistfighting with fire just to get close to you can we burn something babe and i run for miles just to get a taste must be love on the brain thats got me feeling this way it beats me black and blue but it fucks me so good and i cant get enough must be love on the brain yeah and it keeps cursing my name no matter what i do im no good without you and i cant get enough must be love on the brain   baby keep loving me just love me yeah just love me all you need to do is love me yeah got me like ahhahaowww im tired of being played like a violin what do i gotta do to get in your motherfuckin heart baby like iiiiiiiiihiii woo iiiiiiiiihiii  pre baby you got me like iiiiiiiiihiii woo iiiiiiiiihiii don't you stop loving me loving me don't quit loving me loving me just start loving me loving me ooooooohhh   and babe im fistfighting with fire just to get close to you can we burn something babe and i run for miles just to get a taste must be love on the brain thats got me feeling this way it beats me black and blue but it fucks me so good and i cant get enough must be love on the brain yeah and it keeps cursing my name no matter what i do im no good without you and i cant get enough must be love on the brain  click here to learn more about the making of love on the brain
2,Rihanna,Needed Me,ANTI,2016,2016-01-28,yg mustard on the beat ho   i was good on my own that's the way it was that's the way it was you was good on the low for a faded fuck on some faded love shit what the fuck you complaining for feeling jaded huh used to trip off that shit i was kickin' to you had some fun on the run though i'll give it to you  pre but baby don't get it twisted you was just another nigga on the hit list tryna fix your inner issues with a bad bitch didn't they tell you that i was a savage fuck ya white horse and ya carriage bet you never could imagine never told you you could have it   you needed me ooh you needed me to feel a little more and give a little less know you hate to confess but baby ooh you needed me   you been rollin' around shit i'm rollin' up light and roll it up break it down like a pound shit was never us shit was never us that's the real on the real are you serious how you feel how you feel used to trip off that shit i was kickin' to ya had some fun on the run though i'll give it to ya  pre but baby don't get it twisted you was just another nigga on the hit list tryna fix your inner issues with a bad bitch didn't they tell you that i was a savage fuck ya white horse and ya carriage bet you never could imagine never told you you could have it   you needed me ooh you needed me to feel a little more and give a little less know you hate to confess but baby ooh you needed me
3,Rihanna,Stay,Unapologetic,2013,2013-01-07,rihanna all along it was a fever a cold sweat hotheaded believer i threw my hands in the air said show me something he said if you dare come a little closer  pre rihanna round and around and around and around we go oh now tell me now tell me now tell me now you know   rihanna not really sure how to feel about it something in the way you move makes me feel like i can't live without you and it takes me all the way i want you to stay   mikky ekko it's not much of a life you're living it's not just something you take it's given  pre mikky ekko round and around and around and around we go oh now tell me now tell me now tell me now you know   mikky ekko not really sure how to feel about it something in the way you move makes me feel like i can't live without you and it takes me all the way and i want you to stay   rihanna  mikky ekko ooh the reason i hold on ooh 'cause i need this hole gone funny you're the broken one but i'm the only one who needed saving 'cause when you never see the light it's hard to know which one of us is caving   rihanna  mikky ekko not really sure how to feel about it something in the way you move makes me feel like i can't live without you and it takes me all the way i want you to stay   rihanna  mikky ekko stay i want you to stay ooh
4,Rihanna,Kiss It Better,ANTI,2016,2016-01-28,kiss it kiss it better baby kiss it kiss it better baby   been waitin' on that sunshine boy i think i need that back can't do it like that no one else gon' get it like that so why argue you yell but cha take me back who cares when it feels like crack boy ya know that you always do it right  pre man fuck yo pride just take it on back boy take it on back boy take it back all night just take it on back take it on back mmm do what cha gotta do keep me up all night hurtin' vibe man it hurts inside when i look you in yo eye   what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby oh what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby   been waitin' on that sunshine boy i think i need that back can't do it like that no one else gon' get it like that so why argue you here here to take me back who cares when it feels like crack boy ya know that you always do it right  pre man fuck yo pride just take it on back boy take it on back boy take it back all night just take it on back take it on back mmm do what cha gotta do keep me up all night hurtin' vibe man it hurts inside when i look you in yo eye   what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby oh what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby   ive been waitin' up all night baby tell me whats wrong you're gonna make it right make it all night long ive been waiting up all night baby tell me whats wrong going to make it right make it all night long  pre man fuck yo pride just take it on back boy take it on back boy take it back all night just take it on back take it on back mmm do what cha gotta do keep me up all night hurtin' vibe man it hurts inside when i look you in yo eye   what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby oh what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby oh what are you willing to do oh tell me what youre willing to do kiss it kiss it better baby   kiss it kiss it better baby kiss it kiss it better baby
5,Rihanna,Sex with Me,ANTI,2016,2016-01-28,sex with me so amazing all this all hard work no vacation stay up off my instagram pure temptation hit a switch on a fake nigga like a station sex with me so amazing sex with me so amazing   vodka and water and a lemon and a few other things i cannot mention ohnananana five fingers on it five fingers hit it like you own it ima hit it like im on it straight shots of the blue dot shots shots shots shots baby ima pick your  poison ohwe ahyeah you gon need it im off that lala ima get it wet like jacuzzi ahyea    and sex with me so amazing all this all hard work no vacation stay up off my instagram pure temptation sex with me sex with me sex with me so amazing so amazing mmmm   you know i got the sauce sauce you know im saucy and its always wet a bitch never ever had to use lip gloss on it ima need you deeper than six it's not a coffin were not making love tryna get nasty wrap up your drugs come make me happy sex with me is amazing with her itll feel alright the sex doesnt get any better make it long let it be all night i know i know i make it hard to let go tonight all night im monroe even if im alone   sex with me so amazing all this all hard work no vacation stay up off my instagram pure temptation hit a switch on a fake nigga like a station sex with me sex with me sex with me so amazing so amazing mmmm   sex with me so amazing sex with me so amazing this is the best there is
6,Rihanna,Bitch Better Have My Money,,2015,2015-03-26,yayo yayo mulala yayo   bitch better have my money y'all should know me well enough bitch better have my money please don't call me on my bluff pay me what you owe me ballin' bigger than lebron bitch give me your money who y'all think y'all frontin' on like bra bra bra  refrain louis xiii and it's all on me nigga you just bought a shot kamikaze if you think that you gon' knock me off the top shit your wife in the backseat of my brand new foreign car don't act like you forgot i call the shots shots shots like bra bra bra pay me what you owe don't act like you forgot   bitch better have my money bitch better have my money pay me what you owe me bitch better have my bitch better have my bitch better have my bitch better have my bitch better have my money   turn up to rihanna while the whole club fuckin' wasted every time i drop i am the only thing y'all playin' in a drop top doin' hundred y'all in my rearview mirror racin' where y'all at where y'all at where y'all at like bra bra bra  refrain louis xiii and it's all on me nigga you just bought a shot kamikaze if you think that you gon' knock me off the top shit your wife in the backseat of my brand new foreign car don't act like you forgot i call the shots shots shots like bra bra bra pay me what you owe me don't act like you forgot   bitch better have my money bitch better have my money pay me what you owe me bitch better have my bitch better have my bitch better have my bitch better have my bitch better have my money bitch better have my money bitch better have my money pay me what you owe me bitch better have my bitch better have my bitch better have my bitch better have my bitch better have my money   bitch better have my money bitch better have my money bitch bitch bitch better have my money yo that bitch better have my money hold up my money yo my money that bitch better have my money bitch better have my money  produced by deputy coproduced by kanye west additional production by travis scott and wondagurl
7,Rihanna,Consideration,ANTI,2016,2016-01-28,rihanna i came fluttering in from neverland time can never stop me no no no no i know you've tried to i came riding in on a pale white horse handing out highs to less fortunate i do advise you run it back run it on back when you breaking it down for me cause i can't hear you two times run it on back will it ever make sense to me   rihanna i got to do things my own way darling will you ever let me will you ever respect me no do things my own way darling you should just let me why you ain't ever let me grow  post sza when i look outside my window i can't get no piece of mind when i look outside my window i can't get no peace of mind   rihanna let me cover your shit in glitter i could make it gold gold heard you tryna sell your soul baby word on the street you run it low lately i needed you to please give my reflection a break from the face its seeing now ooh darling gahhlee would you mind giving my reflection a break from the pain its feeling now   rihanna  sza i got to do things my own way darling you should just let me will you ever respect me no do things my own way darling you should just let me why you ain't ever let me grow  post sza when i look outside my window i can't get no piece of mind when i look outside my window i can't get no peace of mind   sza rihanna get no piece get no peace get get getting no peace can't get no peace get ggget no peace oh
8,Rihanna,Diamonds,Unapologetic,2012,2012-09-27,shine bright like a diamond shine bright like a diamond   find light in the beautiful sea i choose to be happy you and i you and i we're like diamonds in the sky you're a shooting star i see a vision of ecstasy when you hold me i'm alive we're like diamonds in the sky  pre i knew that we'd become one right away oh right away at first sight i felt the energy of sun rays i saw the life inside your eyes   so shine bright tonight you and i we're beautiful like diamonds in the sky eye to eye so alive we're beautiful like diamonds in the sky  post shine bright like a diamond woah shine bright like a diamond woah shinin' bright like a diamond we're beautiful like diamonds in the sky shine bright like a diamond woah shine bright like a diamond woah shinin' bright like a diamond we're beautiful like diamonds in the sky   palms rise to the unias we moonshine and molly feel the warmth we'll never die we're like diamonds in the sky you're a shooting star i see a vision of ecstasy when you hold me i'm alive we're like diamonds in the sky  pre at first sight i felt the energy of sun rays i saw the life inside your eyes   so shine bright tonight you and i we're beautiful like diamonds in the sky eye to eye so alive we're beautiful like diamonds in the sky  post shine bright like a diamond woah shine bright like a diamond woah shinin' bright like a diamond we're beautiful like diamonds in the sky shine bright like a diamond woah shine bright like a diamond woah shinin' bright like a diamond we're beautiful like diamonds in the sky   shine bright like a diamond shine bright like a diamond shine bright like a diamond   so shine bright tonight you and i we're beautiful like diamonds in the sky eye to eye so alive we're beautiful like diamonds in the sky   shine bright like a diamond woah shine bright like a diamond woah shine bright like a diamond ohoh yeah shine bright like a diamond woah shine bright like a diamond woah shine bright like a diamond shine bright like a diamond
9,Rihanna,Desperado,ANTI,2016,2016-01-28,desperado sittin' in an old monte carlo a man whose heart is hollow mhm take it easy i'm not tryna go against yuh actually i'm goin' witcha  pre gotta get up out of here and yuh ain't leavin' me behind i know you won't cause we share common interests you need me there ain't no leaving me behind never no no i just want outta here yeah once i'm gone aint no going back   if you want we can be runaways running from any sight of love yeah yeah there aint nothin' there ain't nothin' here for me there ain't nothin' here for me anymore but i don't wanna be alone   desperado sitting on your ole' monte carlo we've both had our hearts broke unh hunh take it easy i'm not tryna go against yuh i can be a lone wolf witcha  pre gotta get up out of here and you ain't leaving me behind i know you won't cause we share common interests you need me there ain't no leaving me behind never no no both want outta here yeah once we're gone aint no going back   if you want we can be runaways running from any sight of love yeah yeah there aint nothin' there ain't nothin' here for me there ain't nothin' here for me anymore but i don't wanna be alone   dear desperado yeah i don't wanna be alone dear desperado yeah i don't wanna be alone   if you want we can be runaways running from any sight of love yeah yeah there aint nothin' there ain't nothin' here for me there ain't nothin' here for me anymore but i don't wanna be alone   yeahyeahah yeahyeahah yeahyeahah yeahyeahah yeahyeahah yeahyeahah
