,Artist,Title,Album,Year,Date,Lyric
0,Selena Gomez,Lose You To Love Me,Rare (Target Exclusive),2019,2019-10-23,you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my  'cause it wasn't yours i saw the signs and i ignored it rosecolored glasses all distorted set fire to my purpose and i let it burn you got off on the hurtin' when it wasn't yours yeah  pre we'd always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah   to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me   i gave my all and they all know it then you tore me down and now it's showing in two months you replaced us like it was easy made me think i deserved it in the thick of healing yeah  pre we'd always go into it blindly i needed to lose you to find me this dancing was killing me softly i needed to hate you to love me yeah   to love love yeah to love love yeah to love yeah i needed to lose you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me   you promised the world and i fell for it i put you first and you adored it set fires to my forest and you let it burn sang offkey in my    to love love yeah to love love yeah to love yeah i needed to hate you to love me yeah to love love yeah to love love yeah to love yeah i needed to lose you to love me to love love yeah to love love yeah to love yeah   and now the chapter is closed and done to love love yeah to love love yeah to love yeah and now it's goodbye it's goodbye for us
1,Selena Gomez,Back to You,Rare (Target Exclusive),2018,2018-05-10,took you like a shot thought that i could chase you with a cold evenin' let a couple years water down how im feelin' about you feelin' about you and every time we talk every single word builds up to this moment and i gotta convince myself i dont want it even though i do even though i do  pre you could break my heart in two but when it heals it beats for you i know it's forward but it's true   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know id go back to you  post i know id go back to you oh i know i'd go back to you   we never got it right playin and replayin' old conversations overthinkin' every word and i hate it 'cause its not me 'cause it's not me 'cause it's not me and what's the point in hidin' everybody knows we got unfinished business and i'll regret it if i didn't say this isn't what it could be isn't what it could be  pre you could break my heart in two but when it heals it beats for you i know it's forward but it's true   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know i'd go back to you  post i know i'd go back to you i know i'd go back to you i'd go back to you i'd go back to you i know i said i wasn't sure but i'd go back to you i know i'd go back to you   you can break my heart in two but when it heals it beats for you i know it's forward but it's true won't lie i'd go back to you you know my thoughts are runnin' loose it's just a thing you make me do and i could fight but what's the use i know i'd go back to you   i wanna hold you when i'm not supposed to when i'm lyin' close to someone else you're stuck in my head and i can't get you out of it if i could do it all again i know i'd go back to you  post i'll go back to you i'll go back to you i know i'd go back to you i'd go back to you i'd go back to you i know i'd go back to you go back to you go back to you go back to you go back to you go back to you go back to you
2,Selena Gomez,Fetish,Rare (Target Exclusive),2017,2017-07-13,selena gomez take it or leave it baby take it or leave it but i know you won't leave it 'cause i know that you need it look in the mirror when i look in the mirror baby i see it clearer why you wanna be nearer  pre selena gomez i'm not surprised i sympathize ah i can't deny your appetite ah   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love   selena gomez reaching your limit say you're reaching your limit going over your limit but i know you can't quit it something about me got you hooked on my body take you over and under and twisted up like origami  pre selena gomez i'm not surprised i sympathize ah i can't deny your appetite ah   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love   gucci mane it's gucci the way you walk the way you talk i blame you 'cause it's all your fault you're playin' hard don't turn me off you actin' hard but i know you soft you my fetish i'm so with it all these rumors bein' spreaded might as well go 'head and whip it 'cause they sayin' we already did it call on gucci if you ever need me i'll be south beach in the drop top gleamin' water diamonds aquafina just need you in a blue bikini   selena gomez you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love i push you out and you come right back don't see a point in blaming you if i were you i'd do me too you got a fetish for my love
3,Selena Gomez,Bad Liar,Rare (Target Exclusive),2017,2017-05-18,i was walking down the street the other day tryna distract myself but then i see your face oh wait that's someone else tryna play it coy tryna make it disappear but just like the battle of troy there's nothing subtle here in my room there's a king size space bigger than it used to be if you want you can rent that place call me an amenity even if it's in my dreams  pre ooh you're taking up a fraction of my mind ooooh every time i watch you serpentine   oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar   i see how your attention builds it's like looking in a mirror your touch like a happy pill but still all we do is fear what could possibly happen next can we focus on the love paint my kiss across your chest if you're the art i'll be the brush  pre ooh you're taking up a fraction of my mind ooooh every time i watch you serpentine   oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar   and oh baby let's make reality actuality a reality oh baby let's make reality actuality a reality   oh oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to think about you no no no no not to think about you no no no no oh i'm tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' oh tryin' i'm tryin' i'm tryin' i'm tryin' i'm tryin' not to give in to you no no no no not to give in to you no no no no  post with my feelings on fire guess i'm a bad liar
4,Selena Gomez,Look At Her Now,Rare (Target Exclusive),2019,2019-10-24,yeah   they fell in love one summer a little too wild for each other shiny 'til it wasn't feels good 'til it doesn't it was her first real lover his too 'til he had another oh god when she found out trust levels went way down  pre of course she was sad but now she's glad she dodged a bullet mm took a few years to soak up the tears but look at her now watch her go   mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now  post wow look at her now   fast nights that got him that new life was his problem not saying she was perfect still regrets that moment like that night wasn't wrong wasn't right yeah what a thing to be human what a thing to be human made her more of a woman made her more of a woman  pre of course she was sad but now she's glad she dodged a bullet mm took a few years to soak up the tears but look at her now watch her go   mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now look at her now mmmmmm mmmmmm mmmm look at her now watch her go mmmmmm mmmmmm mmmm wow look at her now  post ah wow look at her now look at her now look at her now wow look at her now   she knows she'll find love she knows only if she wants it she knows she'll find love she knows she knows she'll find love she knows only if she wants it she knows she'll find love she knows on the up from the way down look at her now watch her go   mmmm look at her now mmmm oh she knows she'll find love she knows she will only if she wants it she knows she'll find love look at her now yeah look at her now she knows she'll find love she knows she will only if she wants it she knows she'll find love wow look at her now
5,Selena Gomez,Good for You,Revival,2015,2015-06-22,produced by hitboy nick monson  rock mafia written by julia michaels justin tranter selena gomez and aap rocky   selena gomez i'm on my 4 carats i'm 4 carat doing it up like midas now you say i got a touch so good so good make you never wanna leave so don't so don't  pre selena gomez gonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to your heart beating   selena gomez cause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez i'm on my marquise diamonds i'm a marquise diamond could even make that tiffany jealous you say i give it to you hard so bad so bad make you never wanna leave i won't i won't  pre selena gomez gonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to how you're breathing   selena gomez cause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez trust me i can take you there trust me i can take you there trust me i trust me i trust me i   aap rocky hold on take a minute love cause i ain't trying to fuck your image up like we mess around in triple cuffs stumble 'round town pull your zipper up pants sag like i don't give a i ain't trying to fuck your business up and i ain't trying to get you into stuff but the way you touchin' on me in the club rubbin' on my miniature john hancock fuck the signature any time i hit it know she finna fall through and every time we get up always end up on the news ain't worried bout no press and ain't worried bout the next bitch they love the way you dress and ain't got shit up on you jackpot hit the jackpot just met a bad bitch without the ass shots you look good girl you know you did good don't you you look good girl bet it feel good don't it   selena gomez cause i just wanna look good for you good for you baby let me be good to you good to you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you   selena gomez trust me i trust me i trust me i
6,Selena Gomez,The Heart Wants What It Wants,For You,2014,2014-11-06,what the heart wants what the heart wants what the heart wants wants wants wants   you got me sipping on something i can't compare to nothing i've ever known i'm hoping that after this fever i'll survive i know i'm acting a bit crazy strung out a little bit hazy hand over heart i'm praying that i'm gonna make it out alive  pre the bed's getting cold and you're not here the future that we hold is so unclear but i'm not alive until you call and i'll bet the odds against it all save your advice 'cause i won't hear you might be right but i don't care there's a million reasons why i should give you up   but the heart wants what it wants the heart wants what it wants   you got me scattered in pieces shining like stars and screaming lighting me up like venus but then you disappear and make me wait and every second's like torture heroin drip no more so finding a way to let go baby baby no i can't escape  pre the bed's getting cold and you're not here the future that we hold is so unclear but i'm not alive until you call and i'll bet the odds against it all save your advice 'cause i won't hear you might be right but i don't care there's a million reasons why i should give you up   but the heart wants what it wants the heart wants what it wants the heart wants what it wants the heart wants what it wants   this is a modern fairytale no happy endings no wind in our sails but i can't imagine a life without breathless moments breaking me down down down down  pre the bed's getting cold and you're not here the future that we hold is so unclear but i'm not alive until you call and i'll bet the odds against it all save your advice 'cause i won't hear you might be right but i don't care there's a million reasons why i should give you up   but the heart wants what it wants the heart wants what it wants the heart wants what it wants the heart wants what it wants   the heart wants what it wants baby the heart wants what it wants baby it wants what it wants it wants what it wants the heart wants what it wants baby the heart wants what it wants baby
7,Selena Gomez,Hands to Myself,Revival,2016,2016-01-26,can't keep my hands to myself no matter how hard i'm trying to i want you all to myself you're metaphorical gin and juice  so come on give me a taste of what its like to be next to you won't let one drop go to waste you're metaphorical gin and juice  pre cause all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying trying all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying but i   can't keep my hands to myself my hands to myself can't keep my hands to myself my hands to myself   the doctors say you're no good but people say what they wanna say and you should know if i could i'd breathe you in every single day  pre all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying trying all of the downs and the uppers keep making love to each other and i'm trying trying i'm trying but i   can't keep my hands to myself my hands to myself can't keep my hands to myself my hands to myself   can't keep my hands to myself i want it all no nothing else can't keep my hands to myself give me your all and nothing else oh i i want it all i want it all i want it all can't keep my hands to myself i mean i could but why would i want to   my hands to myself can't keep my hands to myself my hands to myself can't keep my hands to myself i want it all no nothing else can't keep my hands to myself give me your all and nothing else can't keep my hands to myself  produced by matt man max martin  da robin written by julia michaels justin tranter matt man max martin  da robin
8,Selena Gomez,Feel Me,Rare (Bonus Track Version),2020,2020-02-21,no one love you like i love ya never cheat never lie never put no one above ya i gave you space and time now you're telling me you miss it and i'm still on your mind we were one in a million and love is hard to find  pre do you stay up late just so you don't dream   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   when you're running who you run to where do you go to hide when she ain't giving you enough to get you through the night won't be caught up in the middle of your highs and your lows baby long as you're not with me you'll always be alone  pre do you stay up late just so you don't dream   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   do you feel me feel me feel me oh feel me feel me feel me   every time your lips touch another i want you to feel me i want you to feel me every time you dance with somebody i want you to feel me i want you to feel me  post do your days get a little bit longer nights get a little bit colder heart beat a little bit louder oh do you feel me days get a little bit longer feel me nights get a little bit colder feel me heart beat a little bit louder oh   every time your lips touch another oh every time you dance with somebody
9,Selena Gomez,Same Old Love,Revival,2015,2015-09-10,produced by benny blanco and stargate written by benny blanco charli xcx mikkel s eriksen ross golan  tor erik hermansen   selena gomez take away your things and go you can't take back what you said i know i've heard it all before at least a million times i'm not one to forget you know  pre  selena gomez i don't believe i don't believe it you left in peace left me in pieces too hard to breathe i'm on my knees right now   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love   selena gomez i'm not spending any time wasting tonight on you i know i've heard it all so don't you try and change your mind cause i won't be changing too you know  pre  selena gomez you can't believe still can't believe it you left in peace left me in pieces too hard to breathe i'm on my knees right now 'ow   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love   i'm so sick of that so sick of that love i'm so sick of that so sick of that love i'm so sick of that so sick of that love i'm so sick of that so sick of that love   selena gomez with charli xcx i'm so sick of that same old love that shit it tears me up im so sick of that same old love my body's had enough ohohoh that same old love ohohoh that same old love im so sick of that same old love feels like i've blown apart im so sick of that same old love the kind that breaks your heart ohohoh that same old love ohohoh that same old love
